Process,Temp,Supply,F_input,F_out,N
tt,27.00,1.62,2.2GHz,1.00000e+07,2.20000e+02
tt,27.00,1.62,2.21GHz,1.00000e+07,2.21000e+02
tt,27.00,1.62,2.22GHz,1.00000e+07,2.22000e+02
tt,27.00,1.62,2.23GHz,1.00000e+07,2.23000e+02
tt,27.00,1.62,2.24GHz,1.00000e+07,2.24000e+02
tt,27.00,1.62,2.25GHz,1.00000e+07,2.25000e+02
tt,27.00,1.62,2.26GHz,1.00000e+07,2.26000e+02
tt,27.00,1.62,2.27GHz,1.00000e+07,2.27000e+02
tt,27.00,1.62,2.28GHz,1.00000e+07,2.28000e+02
tt,27.00,1.62,2.29GHz,1.00000e+07,2.29000e+02
tt,27.00,1.62,2.3GHz,1.00000e+07,2.30000e+02
tt,27.00,1.62,2.31GHz,1.00000e+07,2.31000e+02
tt,27.00,1.62,2.32GHz,1.00000e+07,2.32000e+02
tt,27.00,1.62,2.33GHz,1.00000e+07,2.33000e+02
tt,27.00,1.62,2.34GHz,1.00000e+07,2.34000e+02
tt,27.00,1.62,2.35GHz,1.00000e+07,2.35000e+02
tt,27.00,1.62,2.36GHz,1.00000e+07,2.36000e+02
tt,27.00,1.62,2.37GHz,1.00000e+07,2.37000e+02
tt,27.00,1.62,2.38GHz,1.00000e+07,2.38000e+02
tt,27.00,1.62,2.39GHz,1.00000e+07,2.39000e+02
tt,27.00,1.62,2.4GHz,1.00000e+07,2.40000e+02
tt,27.00,1.62,2.41GHz,1.00000e+07,2.41000e+02
tt,27.00,1.62,2.42GHz,1.00000e+07,2.42000e+02
tt,27.00,1.62,2.43GHz,1.00000e+07,2.43000e+02
tt,27.00,1.62,2.44GHz,1.00000e+07,2.44000e+02
tt,27.00,1.62,2.45GHz,1.00000e+07,2.45000e+02
tt,27.00,1.62,2.46GHz,1.00000e+07,2.46000e+02
tt,27.00,1.62,2.47GHz,1.00000e+07,2.47000e+02
tt,27.00,1.62,2.48GHz,1.00000e+07,2.48000e+02
tt,27.00,1.62,2.49GHz,1.00000e+07,2.49000e+02
tt,27.00,1.62,2.5GHz,1.00000e+07,2.50000e+02
tt,27.00,1.62,2.51GHz,1.00000e+07,2.51000e+02
tt,27.00,1.62,2.52GHz,1.00000e+07,2.52000e+02
tt,27.00,1.62,2.53GHz,1.00000e+07,2.53000e+02
tt,27.00,1.62,2.54GHz,1.00000e+07,2.54000e+02
tt,27.00,1.62,2.55GHz,9.96095e+06,2.56000e+02
sf,-40.00,1.62,2.2GHz,1.00000e+07,2.20000e+02
sf,-40.00,1.62,2.21GHz,9.95496e+06,2.22000e+02
sf,-40.00,1.62,2.22GHz,1.00000e+07,2.22000e+02
sf,-40.00,1.62,2.23GHz,9.95536e+06,2.24000e+02
sf,-40.00,1.62,2.24GHz,1.00000e+07,2.24000e+02
sf,-40.00,1.62,2.25GHz,9.95571e+06,2.26001e+02
sf,-40.00,1.62,2.26GHz,1.00000e+07,2.26000e+02
sf,-40.00,1.62,2.27GHz,9.95613e+06,2.28000e+02
sf,-40.00,1.62,2.28GHz,1.00000e+07,2.28000e+02
sf,-40.00,1.62,2.29GHz,9.95658e+06,2.29999e+02
sf,-40.00,1.62,2.3GHz,1.00000e+07,2.30000e+02
sf,-40.00,1.62,2.31GHz,9.95695e+06,2.31999e+02
sf,-40.00,1.62,2.32GHz,1.00000e+07,2.32000e+02
sf,-40.00,1.62,2.33GHz,9.95728e+06,2.34000e+02
sf,-40.00,1.62,2.34GHz,1.00000e+07,2.34000e+02
sf,-40.00,1.62,2.35GHz,9.95768e+06,2.35999e+02
sf,-40.00,1.62,2.36GHz,1.00000e+07,2.36000e+02
sf,-40.00,1.62,2.37GHz,9.95796e+06,2.38001e+02
sf,-40.00,1.62,2.38GHz,1.00000e+07,2.38000e+02
sf,-40.00,1.62,2.39GHz,9.95836e+06,2.39999e+02
sf,-40.00,1.62,2.4GHz,1.00000e+07,2.40000e+02
sf,-40.00,1.62,2.41GHz,9.95869e+06,2.42000e+02
sf,-40.00,1.62,2.42GHz,1.00000e+07,2.42000e+02
sf,-40.00,1.62,2.43GHz,9.95902e+06,2.44000e+02
sf,-40.00,1.62,2.44GHz,1.00000e+07,2.44000e+02
sf,-40.00,1.62,2.45GHz,9.95937e+06,2.46000e+02
sf,-40.00,1.62,2.46GHz,1.00000e+07,2.46000e+02
sf,-40.00,1.62,2.47GHz,9.95967e+06,2.48000e+02
sf,-40.00,1.62,2.48GHz,1.00000e+07,2.48000e+02
sf,-40.00,1.62,2.49GHz,9.96003e+06,2.49999e+02
sf,-40.00,1.62,2.5GHz,1.00000e+07,2.50000e+02
sf,-40.00,1.62,2.51GHz,9.96033e+06,2.52000e+02
sf,-40.00,1.62,2.52GHz,1.00000e+07,2.52000e+02
sf,-40.00,1.62,2.53GHz,failed,failed
sf,-40.00,1.62,2.54GHz,9.96080e+06,2.54999e+02
sf,-40.00,1.62,2.55GHz,9.96093e+06,2.56000e+02
sf,27.00,1.62,2.2GHz,1.00000e+07,2.20000e+02
sf,27.00,1.62,2.21GHz,9.95495e+06,2.22000e+02
sf,27.00,1.62,2.22GHz,1.00000e+07,2.22000e+02
sf,27.00,1.62,2.23GHz,9.95536e+06,2.24000e+02
sf,27.00,1.62,2.24GHz,1.00000e+07,2.24000e+02
sf,27.00,1.62,2.25GHz,9.95573e+06,2.26000e+02
sf,27.00,1.62,2.26GHz,1.00000e+07,2.26000e+02
sf,27.00,1.62,2.27GHz,9.95614e+06,2.28000e+02
sf,27.00,1.62,2.28GHz,1.00000e+07,2.28000e+02
sf,27.00,1.62,2.29GHz,9.95653e+06,2.30000e+02
sf,27.00,1.62,2.3GHz,1.00000e+07,2.30000e+02
