process,temp,supply,control,UP,Down,corner name,i_out
ff,-40,0.9,0.0,0.0,1.8,"ff,-40,0.9",2.01769e-06
ff,-40,0.9,0.1,0.0,1.8,"ff,-40,0.9",-72.6369
ff,-40,0.9,0.2,0.0,1.8,"ff,-40,0.9",-94.7825
ff,-40,0.9,0.3,0.0,1.8,"ff,-40,0.9",-99.0249
ff,-40,0.9,0.4,0.0,1.8,"ff,-40,0.9",-99.7135
ff,-40,0.9,0.5,0.0,1.8,"ff,-40,0.9",-99.8476
ff,-40,0.9,0.6,0.0,1.8,"ff,-40,0.9",-99.9149
ff,-40,0.9,0.7,0.0,1.8,"ff,-40,0.9",-99.9608
ff,-40,0.9,0.8,0.0,1.8,"ff,-40,0.9",-99.9946
ff,-40,0.9,0.9,0.0,1.8,"ff,-40,0.9",-100.017
ff,-40,0.9,1.0,0.0,1.8,"ff,-40,0.9",-100.027
ff,-40,0.9,1.1,0.0,1.8,"ff,-40,0.9",-100.031
ff,-40,0.9,1.2,0.0,1.8,"ff,-40,0.9",-100.035
ff,-40,0.9,1.3,0.0,1.8,"ff,-40,0.9",-100.038
ff,-40,0.9,1.4,0.0,1.8,"ff,-40,0.9",-100.041
ff,-40,0.9,1.5,0.0,1.8,"ff,-40,0.9",-100.044
ff,-40,0.9,1.6,0.0,1.8,"ff,-40,0.9",-100.046
ff,-40,0.9,1.7,0.0,1.8,"ff,-40,0.9",-100.049
ff,-40,0.9,1.8,0.0,1.8,"ff,-40,0.9",-100.051
ff,-40,1.0,0.0,0.0,1.8,"ff,-40,1.0",3.252634e-06
ff,-40,1.0,0.1,0.0,1.8,"ff,-40,1.0",-72.6369
ff,-40,1.0,0.2,0.0,1.8,"ff,-40,1.0",-94.7825
ff,-40,1.0,0.3,0.0,1.8,"ff,-40,1.0",-99.0249
ff,-40,1.0,0.4,0.0,1.8,"ff,-40,1.0",-99.7135
ff,-40,1.0,0.5,0.0,1.8,"ff,-40,1.0",-99.8476
ff,-40,1.0,0.6,0.0,1.8,"ff,-40,1.0",-99.9149
ff,-40,1.0,0.7,0.0,1.8,"ff,-40,1.0",-99.9608
ff,-40,1.0,0.8,0.0,1.8,"ff,-40,1.0",-99.9946
ff,-40,1.0,0.9,0.0,1.8,"ff,-40,1.0",-100.017
ff,-40,1.0,1.0,0.0,1.8,"ff,-40,1.0",-100.027
ff,-40,1.0,1.1,0.0,1.8,"ff,-40,1.0",-100.031
ff,-40,1.0,1.2,0.0,1.8,"ff,-40,1.0",-100.035
ff,-40,1.0,1.3,0.0,1.8,"ff,-40,1.0",-100.038
ff,-40,1.0,1.4,0.0,1.8,"ff,-40,1.0",-100.041
ff,-40,1.0,1.5,0.0,1.8,"ff,-40,1.0",-100.044
ff,-40,1.0,1.6,0.0,1.8,"ff,-40,1.0",-100.046
ff,-40,1.0,1.7,0.0,1.8,"ff,-40,1.0",-100.049
ff,-40,1.0,1.8,0.0,1.8,"ff,-40,1.0",-100.051
ff,-40,1.1,0.0,0.0,1.8,"ff,-40,1.1",6.322733e-06
ff,-40,1.1,0.1,0.0,1.8,"ff,-40,1.1",-72.6369
ff,-40,1.1,0.2,0.0,1.8,"ff,-40,1.1",-94.7825
ff,-40,1.1,0.3,0.0,1.8,"ff,-40,1.1",-99.0249
ff,-40,1.1,0.4,0.0,1.8,"ff,-40,1.1",-99.7135
ff,-40,1.1,0.5,0.0,1.8,"ff,-40,1.1",-99.8476
ff,-40,1.1,0.6,0.0,1.8,"ff,-40,1.1",-99.9149
ff,-40,1.1,0.7,0.0,1.8,"ff,-40,1.1",-99.9608
ff,-40,1.1,0.8,0.0,1.8,"ff,-40,1.1",-99.9946
ff,-40,1.1,0.9,0.0,1.8,"ff,-40,1.1",-100.017
ff,-40,1.1,1.0,0.0,1.8,"ff,-40,1.1",-100.027
ff,-40,1.1,1.1,0.0,1.8,"ff,-40,1.1",-100.031
ff,-40,1.1,1.2,0.0,1.8,"ff,-40,1.1",-100.035
ff,-40,1.1,1.3,0.0,1.8,"ff,-40,1.1",-100.038
ff,-40,1.1,1.4,0.0,1.8,"ff,-40,1.1",-100.041
ff,-40,1.1,1.5,0.0,1.8,"ff,-40,1.1",-100.044
ff,-40,1.1,1.6,0.0,1.8,"ff,-40,1.1",-100.046
ff,-40,1.1,1.7,0.0,1.8,"ff,-40,1.1",-100.049
ff,-40,1.1,1.8,0.0,1.8,"ff,-40,1.1",-100.051
ff,125,0.9,0.0,0.0,1.8,"ff,125,0.9",0.0007908375
ff,125,0.9,0.1,0.0,1.8,"ff,125,0.9",-52.1377
ff,125,0.9,0.2,0.0,1.8,"ff,125,0.9",-82.5381
ff,125,0.9,0.3,0.0,1.8,"ff,125,0.9",-95.2369
ff,125,0.9,0.4,0.0,1.8,"ff,125,0.9",-98.8636
ff,125,0.9,0.5,0.0,1.8,"ff,125,0.9",-99.5971
ff,125,0.9,0.6,0.0,1.8,"ff,125,0.9",-99.8227
ff,125,0.9,0.7,0.0,1.8,"ff,125,0.9",-99.9496
ff,125,0.9,0.8,0.0,1.8,"ff,125,0.9",-100.037
ff,125,0.9,0.9,0.0,1.8,"ff,125,0.9",-100.098
ff,125,0.9,1.0,0.0,1.8,"ff,125,0.9",-100.135
ff,125,0.9,1.1,0.0,1.8,"ff,125,0.9",-100.152
ff,125,0.9,1.2,0.0,1.8,"ff,125,0.9",-100.161
ff,125,0.9,1.3,0.0,1.8,"ff,125,0.9",-100.168
ff,125,0.9,1.4,0.0,1.8,"ff,125,0.9",-100.174
ff,125,0.9,1.5,0.0,1.8,"ff,125,0.9",-100.183
ff,125,0.9,1.6,0.0,1.8,"ff,125,0.9",-100.219
ff,125,0.9,1.7,0.0,1.8,"ff,125,0.9",-100.393
ff,125,0.9,1.8,0.0,1.8,"ff,125,0.9",-101.184
ff,125,1.0,0.0,0.0,1.8,"ff,125,1.0",0.0008357413
ff,125,1.0,0.1,0.0,1.8,"ff,125,1.0",-52.1377
ff,125,1.0,0.2,0.0,1.8,"ff,125,1.0",-82.5381
ff,125,1.0,0.3,0.0,1.8,"ff,125,1.0",-95.2369
ff,125,1.0,0.4,0.0,1.8,"ff,125,1.0",-98.8636
ff,125,1.0,0.5,0.0,1.8,"ff,125,1.0",-99.5971
ff,125,1.0,0.6,0.0,1.8,"ff,125,1.0",-99.8227
ff,125,1.0,0.7,0.0,1.8,"ff,125,1.0",-99.9496
ff,125,1.0,0.8,0.0,1.8,"ff,125,1.0",-100.037
ff,125,1.0,0.9,0.0,1.8,"ff,125,1.0",-100.098
ff,125,1.0,1.0,0.0,1.8,"ff,125,1.0",-100.135
ff,125,1.0,1.1,0.0,1.8,"ff,125,1.0",-100.152
ff,125,1.0,1.2,0.0,1.8,"ff,125,1.0",-100.161
ff,125,1.0,1.3,0.0,1.8,"ff,125,1.0",-100.168
ff,125,1.0,1.4,0.0,1.8,"ff,125,1.0",-100.174
ff,125,1.0,1.5,0.0,1.8,"ff,125,1.0",-100.179
ff,125,1.0,1.6,0.0,1.8,"ff,125,1.0",-100.185
ff,125,1.0,1.7,0.0,1.8,"ff,125,1.0",-100.197
ff,125,1.0,1.8,0.0,1.8,"ff,125,1.0",-100.253
ff,125,1.1,0.0,0.0,1.8,"ff,125,1.1",0.0009290187
ff,125,1.1,0.1,0.0,1.8,"ff,125,1.1",-52.1377
ff,125,1.1,0.2,0.0,1.8,"ff,125,1.1",-82.5381
ff,125,1.1,0.3,0.0,1.8,"ff,125,1.1",-95.2369
ff,125,1.1,0.4,0.0,1.8,"ff,125,1.1",-98.8636
ff,125,1.1,0.5,0.0,1.8,"ff,125,1.1",-99.5971
ff,125,1.1,0.6,0.0,1.8,"ff,125,1.1",-99.8227
ff,125,1.1,0.7,0.0,1.8,"ff,125,1.1",-99.9496
ff,125,1.1,0.8,0.0,1.8,"ff,125,1.1",-100.037
ff,125,1.1,0.9,0.0,1.8,"ff,125,1.1",-100.098
ff,125,1.1,1.0,0.0,1.8,"ff,125,1.1",-100.135
ff,125,1.1,1.1,0.0,1.8,"ff,125,1.1",-100.152
ff,125,1.1,1.2,0.0,1.8,"ff,125,1.1",-100.161
ff,125,1.1,1.3,0.0,1.8,"ff,125,1.1",-100.168
ff,125,1.1,1.4,0.0,1.8,"ff,125,1.1",-100.174
ff,125,1.1,1.5,0.0,1.8,"ff,125,1.1",-100.179
ff,125,1.1,1.6,0.0,1.8,"ff,125,1.1",-100.184
ff,125,1.1,1.7,0.0,1.8,"ff,125,1.1",-100.189
ff,125,1.1,1.8,0.0,1.8,"ff,125,1.1",-100.195
ff,27,0.9,0.0,0.0,1.8,"ff,27,0.9",5.946672e-06
ff,27,0.9,0.1,0.0,1.8,"ff,27,0.9",-62.9563
ff,27,0.9,0.2,0.0,1.8,"ff,27,0.9",-90.8689
ff,27,0.9,0.3,0.0,1.8,"ff,27,0.9",-98.0945
ff,27,0.9,0.4,0.0,1.8,"ff,27,0.9",-99.5303
ff,27,0.9,0.5,0.0,1.8,"ff,27,0.9",-99.7832
ff,27,0.9,0.6,0.0,1.8,"ff,27,0.9",-99.8892
ff,27,0.9,0.7,0.0,1.8,"ff,27,0.9",-99.9569
ff,27,0.9,0.8,0.0,1.8,"ff,27,0.9",-100.006
ff,27,0.9,0.9,0.0,1.8,"ff,27,0.9",-100.04
ff,27,0.9,1.0,0.0,1.8,"ff,27,0.9",-100.057
ff,27,0.9,1.1,0.0,1.8,"ff,27,0.9",-100.065
ff,27,0.9,1.2,0.0,1.8,"ff,27,0.9",-100.07
ff,27,0.9,1.3,0.0,1.8,"ff,27,0.9",-100.074
ff,27,0.9,1.4,0.0,1.8,"ff,27,0.9",-100.078
