process,temp,supply,control,UP,Down,corner name,i_out
ff,-40,0.9,0.0,1.8,1.8,"ff,-40,0.9",93.95492
ff,-40,0.9,0.1,1.8,1.8,"ff,-40,0.9",21.31313
ff,-40,0.9,0.2,1.8,1.8,"ff,-40,0.9",-0.83747
ff,-40,0.9,0.3,1.8,1.8,"ff,-40,0.9",-5.085
ff,-40,0.9,0.4,1.8,1.8,"ff,-40,0.9",-5.77897
ff,-40,0.9,0.5,1.8,1.8,"ff,-40,0.9",-5.91855
ff,-40,0.9,0.6,1.8,1.8,"ff,-40,0.9",-5.99169
ff,-40,0.9,0.7,1.8,1.8,"ff,-40,0.9",-6.04375
ff,-40,0.9,0.8,1.8,1.8,"ff,-40,0.9",-6.08426
ff,-40,0.9,0.9,1.8,1.8,"ff,-40,0.9",-6.11463
ff,-40,0.9,1.0,1.8,1.8,"ff,-40,0.9",-6.13845
ff,-40,0.9,1.1,1.8,1.8,"ff,-40,0.9",-6.17437
ff,-40,0.9,1.2,1.8,1.8,"ff,-40,0.9",-6.25851
ff,-40,0.9,1.3,1.8,1.8,"ff,-40,0.9",-6.81551
ff,-40,0.9,1.4,1.8,1.8,"ff,-40,0.9",-10.7155
ff,-40,0.9,1.5,1.8,1.8,"ff,-40,0.9",-31.1375
ff,-40,0.9,1.6,1.8,1.8,"ff,-40,0.9",-85.0334
ff,-40,0.9,1.7,1.8,1.8,"ff,-40,0.9",-176.569
ff,-40,0.9,1.8,1.8,1.8,"ff,-40,0.9",-306.024
ff,-40,1.0,0.0,1.8,1.8,"ff,-40,1.0",99.49017
ff,-40,1.0,0.1,1.8,1.8,"ff,-40,1.0",26.84935
ff,-40,1.0,0.2,1.8,1.8,"ff,-40,1.0",4.699778
ff,-40,1.0,0.3,1.8,1.8,"ff,-40,1.0",0.4533476
ff,-40,1.0,0.4,1.8,1.8,"ff,-40,1.0",-0.239437
ff,-40,1.0,0.5,1.8,1.8,"ff,-40,1.0",-0.377737
ff,-40,1.0,0.6,1.8,1.8,"ff,-40,1.0",-0.44947
ff,-40,1.0,0.7,1.8,1.8,"ff,-40,1.0",-0.499964
ff,-40,1.0,0.8,1.8,1.8,"ff,-40,1.0",-0.538649
ff,-40,1.0,0.9,1.8,1.8,"ff,-40,1.0",-0.566618
ff,-40,1.0,1.0,1.8,1.8,"ff,-40,1.0",-0.585352
ff,-40,1.0,1.1,1.8,1.8,"ff,-40,1.0",-0.60748
ff,-40,1.0,1.2,1.8,1.8,"ff,-40,1.0",-0.639118
ff,-40,1.0,1.3,1.8,1.8,"ff,-40,1.0",-0.685287
ff,-40,1.0,1.4,1.8,1.8,"ff,-40,1.0",-0.795038
ff,-40,1.0,1.5,1.8,1.8,"ff,-40,1.0",-1.6664
ff,-40,1.0,1.6,1.8,1.8,"ff,-40,1.0",-7.3578
ff,-40,1.0,1.7,1.8,1.8,"ff,-40,1.0",-35.1351
ff,-40,1.0,1.8,1.8,1.8,"ff,-40,1.0",-100.051
ff,-40,1.1,0.0,1.8,1.8,"ff,-40,1.1",99.83677
ff,-40,1.1,0.1,1.8,1.8,"ff,-40,1.1",27.19641
ff,-40,1.1,0.2,1.8,1.8,"ff,-40,1.1",5.047312
ff,-40,1.1,0.3,1.8,1.8,"ff,-40,1.1",0.8013874
ff,-40,1.1,0.4,1.8,1.8,"ff,-40,1.1",0.1091397
ff,-40,1.1,0.5,1.8,1.8,"ff,-40,1.1",-0.0285879
ff,-40,1.1,0.6,1.8,1.8,"ff,-40,1.1",-0.0997068
ff,-40,1.1,0.7,1.8,1.8,"ff,-40,1.1",-0.14953
ff,-40,1.1,0.8,1.8,1.8,"ff,-40,1.1",-0.187462
ff,-40,1.1,0.9,1.8,1.8,"ff,-40,1.1",-0.214483
ff,-40,1.1,1.0,1.8,1.8,"ff,-40,1.1",-0.231409
ff,-40,1.1,1.1,1.8,1.8,"ff,-40,1.1",-0.249581
ff,-40,1.1,1.2,1.8,1.8,"ff,-40,1.1",-0.273744
ff,-40,1.1,1.3,1.8,1.8,"ff,-40,1.1",-0.303718
ff,-40,1.1,1.4,1.8,1.8,"ff,-40,1.1",-0.340617
ff,-40,1.1,1.5,1.8,1.8,"ff,-40,1.1",-0.391605
ff,-40,1.1,1.6,1.8,1.8,"ff,-40,1.1",-0.528764
ff,-40,1.1,1.7,1.8,1.8,"ff,-40,1.1",-1.72234
ff,-40,1.1,1.8,1.8,1.8,"ff,-40,1.1",-9.50164
ff,125,0.9,0.0,1.8,1.8,"ff,125,0.9",99.26466
ff,125,0.9,0.1,1.8,1.8,"ff,125,0.9",47.11825
ff,125,0.9,0.2,1.8,1.8,"ff,125,0.9",16.7092
ff,125,0.9,0.3,1.8,1.8,"ff,125,0.9",4.001279
ff,125,0.9,0.4,1.8,1.8,"ff,125,0.9",0.3649847
ff,125,0.9,0.5,1.8,1.8,"ff,125,0.9",-0.379078
ff,125,0.9,0.6,1.8,1.8,"ff,125,0.9",-0.61796
ff,125,0.9,0.7,1.8,1.8,"ff,125,0.9",-0.767002
ff,125,0.9,0.8,1.8,1.8,"ff,125,0.9",-0.891352
ff,125,0.9,0.9,1.8,1.8,"ff,125,0.9",-1.00777
ff,125,0.9,1.0,1.8,1.8,"ff,125,0.9",-1.1236
ff,125,0.9,1.1,1.8,1.8,"ff,125,0.9",-1.26786
ff,125,0.9,1.2,1.8,1.8,"ff,125,0.9",-1.69053
ff,125,0.9,1.3,1.8,1.8,"ff,125,0.9",-4.21814
ff,125,0.9,1.4,1.8,1.8,"ff,125,0.9",-14.4077
ff,125,0.9,1.5,1.8,1.8,"ff,125,0.9",-40.8773
ff,125,0.9,1.6,1.8,1.8,"ff,125,0.9",-88.2084
ff,125,0.9,1.7,1.8,1.8,"ff,125,0.9",-159.005
ff,125,0.9,1.8,1.8,1.8,"ff,125,0.9",-255.771
ff,125,1.0,0.0,1.8,1.8,"ff,125,1.0",99.91226
ff,125,1.0,0.1,1.8,1.8,"ff,125,1.0",47.76704
ff,125,1.0,0.2,1.8,1.8,"ff,125,1.0",17.35927
ff,125,1.0,0.3,1.8,1.8,"ff,125,1.0",4.652719
ff,125,1.0,0.4,1.8,1.8,"ff,125,1.0",1.017943
ff,125,1.0,0.5,1.8,1.8,"ff,125,1.0",0.2756732
ff,125,1.0,0.6,1.8,1.8,"ff,125,1.0",0.03950159
ff,125,1.0,0.7,1.8,1.8,"ff,125,1.0",-0.104138
ff,125,1.0,0.8,1.8,1.8,"ff,125,1.0",-0.219172
ff,125,1.0,0.9,1.8,1.8,"ff,125,1.0",-0.320696
ff,125,1.0,1.0,1.8,1.8,"ff,125,1.0",-0.410783
ff,125,1.0,1.1,1.8,1.8,"ff,125,1.0",-0.494237
ff,125,1.0,1.2,1.8,1.8,"ff,125,1.0",-0.590308
ff,125,1.0,1.3,1.8,1.8,"ff,125,1.0",-0.737537
ff,125,1.0,1.4,1.8,1.8,"ff,125,1.0",-1.25911
ff,125,1.0,1.5,1.8,1.8,"ff,125,1.0",-4.45969
ff,125,1.0,1.6,1.8,1.8,"ff,125,1.0",-16.946
ff,125,1.0,1.7,1.8,1.8,"ff,125,1.0",-47.7768
ff,125,1.0,1.8,1.8,1.8,"ff,125,1.0",-100.912
ff,125,1.1,0.0,1.8,1.8,"ff,125,1.1",100.1882
ff,125,1.1,0.1,1.8,1.8,"ff,125,1.1",48.04368
