process,temp,supply,control,corner name,bgr_tran_02_sat_check,bgr_tran_13_sat_check,bgr_tran_14_sat_check,bgr_tran_15_sat_check,bgr_tran_16_sat_check,bgr_tran_17_sat_check,bgr_tran_18_sat_check,bgr_tran_22_sat_check,bgr_tran_24_sat_check,gmn (mS),gmp (mS),I_left (mA),I_right (mA),I_tail (mA),nmos_sat_check,pmos_sat_check,tail_sat_check,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,-40,0.9,0.0,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,4.067214e-11,False,0,
ff,-40,0.9,0.1,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,5.558954e-11,False,0,
ff,-40,0.9,0.2,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,4.863642e-11,False,0,
ff,-40,0.9,0.3,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,7.37792e-11,False,0,"ff,-40,1.62"
ff,-40,0.9,0.4,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,5.518074e-11,False,0,
ff,-40,0.9,0.5,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,7.297674e-11,False,0,
ff,-40,0.9,0.6,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,1.057272e-10,False,0,
ff,-40,0.9,0.7,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,1.4469648e-10,False,0,
ff,-40,0.9,0.8,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,1.3653656e-10,False,0,
ff,-40,0.9,0.9,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,1.1150236e-10,False,0,
ff,-40,0.9,1.0,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,9.992674e-11,False,0,
ff,-40,0.9,1.1,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,5.09257e-11,False,0,
ff,-40,0.9,1.2,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,1.5223068e-10,False,0,
ff,-40,0.9,1.3,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,1.3026736e-10,False,0,
ff,-40,0.9,1.4,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,5.248712e-11,False,0,
ff,-40,0.9,1.5,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,5.862e-11,False,0,
ff,-40,0.9,1.6,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,1.294329e-10,False,0,
ff,-40,0.9,1.7,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,7.41387e-11,False,0,
ff,-40,0.9,1.8,"ff,-40,0.9",True,True,True,True,True,True,True,True,True,5.531249e-01,3.041347e-01,1.713596e-02,1.713596e-02,3.427192e-02,True,True,True,0.08280000000000001,6.516049e-01,6.516049e-01,1.3689916e-10,False,0,
ff,-40,1.0,0.0,"ff,-40,1.0",True,True,True,False,True,True,True,True,True,2.162508e+01,1.365827e+01,1.037376e+00,1.037376e+00,2.074751e+00,True,True,True,4.9698,7.937099e-01,7.937099e-01,2.993972,True,2.220322,
