process,temp,supply,control,corner name,gmn (mS),gmp (mS),I_left (mA),I_right (mA),I_tail (mA),nmos_sat_check,pmos_sat_check,tail_sat_check,vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,-40,0.9,0.0,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,1.7463808e-11,False,0,"ff,-40,1.62"
ff,-40,0.9,0.1,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,2.55036e-11,False,0,
ff,-40,0.9,0.2,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,2.415978e-11,False,0,
ff,-40,0.9,0.3,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,3.023048e-11,False,0,
ff,-40,0.9,0.4,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,3.608248e-11,False,0,
ff,-40,0.9,0.5,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,5.797274e-11,False,0,
ff,-40,0.9,0.6,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,9.179768e-11,False,0,
ff,-40,0.9,0.7,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,1.8020096e-10,False,0,
ff,-40,0.9,0.8,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,9.84115e-11,False,0,
ff,-40,0.9,0.9,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,1.4902346e-10,False,0,
ff,-40,0.9,1.0,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,9.67002e-11,False,0,
ff,-40,0.9,1.1,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,1.0243494e-10,False,0,
ff,-40,0.9,1.2,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,1.3215696e-10,False,0,
ff,-40,0.9,1.3,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,1.2213852e-10,False,0,
ff,-40,0.9,1.4,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,1.012559e-10,False,0,
ff,-40,0.9,1.5,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,1.0473334e-10,False,0,
ff,-40,0.9,1.6,"ff,-40,0.9",5.531241e-01,3.041342e-01,1.713593e-02,1.713593e-02,3.427186e-02,True,True,True,6.516048e-01,6.516048e-01,4.183342e-11,False,0,
