process,temp,supply,control,I_left (mA),I_right (mA),I_tail (mA),nmos_sat_check,pmos_sat_check,tail_sat_check,vn,vp,vdiff_max,Oscillation Status,freq (GHZ)
tt,-40,1.1,0.0,1.158893,1.158893,2.317785,True,True,True,0.8103894,0.8103894,1.432918,True,2.194992e+00
tt,125,1.1,0.0,1.261088,1.261088,2.522138,True,True,True,0.7419397,0.7419397,1.354317,True,2.153020e+00
ss,125,1.0,0.0,1.186026,1.186026,2.372045,True,True,True,0.7566209,0.7566209,1.368645,True,2.147510e+00
sf,27,1.1,0.0,1.185882,1.185882,2.371764,True,True,True,0.7590522,0.7590522,1.396499,True,2.155598e+00
ss,-40,1.0,0.0,0.4236767,0.4236767,0.8473517,True,True,False,0.778928,0.778928,1.449379,True,2.193846e+00
ff,-40,1.1,0.0,1.187289,1.187289,2.374579,True,True,True,0.8000122,0.8000122,1.405553,True,2.201020e+00
fs,-40,1.0,0.0,1.057974,1.057974,2.115938,True,True,True,0.8324907,0.8324907,1.41497,True,2.222210e+00
fs,125,0.9,0.0,1.180751,1.180751,2.361495,True,True,True,0.7632574,0.7632574,1.317288,True,2.183253e+00
tt,125,1.0,0.0,1.217627,1.217627,2.435232,True,True,True,0.7391138,0.7391138,1.335979,True,2.160047e+00
sf,125,0.9,0.0,1.021339,1.021339,2.042674,True,True,False,0.705148,0.705148,1.31216,True,2.149333e+00
ss,-40,1.1,0.0,0.9978797,0.9978797,1.99576,True,True,False,0.8212403,0.8212403,1.466247,True,2.182605e+00
ss,125,0.9,0.0,1.0022,1.0022,2.004396,True,True,False,0.7428741,0.7428741,1.34263,True,2.156870e+00
ff,27,0.9,0.0,0.9754317,0.9754317,1.950862,True,True,False,0.7558161,0.7558161,1.32661,True,2.206208e+00
tt,125,0.9,0.0,1.141314,1.141314,2.282625,True,True,True,0.7339711,0.7339711,1.313245,True,2.168936e+00
tt,27,0.9,0.0,0.6994181,0.6994181,1.398836,True,True,False,0.7479448,0.7479448,1.355441,True,2.199295e+00
sf,125,1.0,0.0,1.195465,1.195465,2.390921,True,True,True,0.7169963,0.7169963,1.334997,True,2.139735e+00
