process,temp,supply,control,corner name,iref
ss,10,0.9,0.9,"ss,10,0.9",0.246735
fs,70,0.9,0.9,"fs,70,0.9",64.94174
fs,50,1.0,0.9,"fs,50,1.0",65.30525
fs,100,0.9,0.9,"fs,100,0.9",5.890315
fs,110,0.9,0.9,"fs,110,0.9",6.287195
fs,120,0.9,0.9,"fs,120,0.9",6.663493
ff,-40,0.9,0.9,"ff,-40,0.9",1.335842
ff,-30,0.9,0.9,"ff,-30,0.9",1.808835
fs,90,1.0,0.9,"fs,90,1.0",59.65936
tt,30,0.9,0.9,"tt,30,0.9",68.00468
tt,110,0.9,0.9,"tt,110,0.9",4.939862
ff,90,1.1,0.9,"ff,90,1.1",33.90439
tt,-30,0.9,0.9,"tt,-30,0.9",0.3276639
tt,-20,0.9,0.9,"tt,-20,0.9",0.4702974
tt,-10,0.9,0.9,"tt,-10,0.9",0.6546819
tt,-40,0.9,0.9,"tt,-40,0.9",0.221633
fs,30,1.1,0.9,"fs,30,1.1",66.80898
sf,-40,1.0,0.9,"sf,-40,1.0",1.072315
sf,-20,0.9,0.9,"sf,-20,0.9",0.2873001
sf,-30,1.0,0.9,"sf,-30,1.0",1.425367
sf,-30,0.9,0.9,"sf,-30,0.9",0.1976722
sf,-40,0.9,0.9,"sf,-40,0.9",0.1321239
sf,-10,0.9,0.9,"sf,-10,0.9",0.4054883
ss,60,0.9,0.9,"ss,60,0.9",64.32515
ss,0,1.0,0.9,"ss,0,1.0",1.096437
ss,-10,0.9,0.9,"ss,-10,0.9",0.1196937
ss,0,0.9,0.9,"ss,0,0.9",0.1743461
ss,-30,0.9,0.9,"ss,-30,0.9",0.05180839
ss,-20,0.9,0.9,"ss,-20,0.9",0.07988645
ss,-40,0.9,0.9,"ss,-40,0.9",0.0325515
sf,10,0.9,0.9,"sf,10,0.9",0.7384091
fs,-10,0.9,0.9,"fs,-10,0.9",0.01706566
fs,-40,0.9,0.9,"fs,-40,0.9",0.3832871
fs,-20,0.9,0.9,"fs,-20,0.9",0.7813955
fs,-30,0.9,0.9,"fs,-30,0.9",0.5555994
sf,0,0.9,0.9,"sf,0,0.9",0.5554225
sf,20,0.9,0.9,"sf,20,0.9",0.953695
sf,30,1.0,0.9,"sf,30,1.0",4.211362
sf,30,1.1,0.9,"sf,30,1.1",10.34132
sf,50,1.0,0.9,"sf,50,1.0",64.8028
sf,50,0.9,0.9,"sf,50,0.9",66.24377
tt,120,1.1,0.9,"tt,120,1.1",51.29255
ss,-30,1.0,0.9,"ss,-30,1.0",0.05288237
ff,-30,1.1,0.9,"ff,-30,1.1",11.96105
ff,20,0.9,0.9,"ff,20,0.9",0.1634496
ff,10,1.1,0.9,"ff,10,1.1",44.7327
ff,-40,0.9,0.9,"ff,-40,0.9",60.7553
ff,-40,1.1,0.9,"ff,-40,1.1",0.1142144
tt,40,0.9,0.9,"tt,40,0.9",0.03168649
tt,40,1.0,0.9,"tt,40,1.0",0.0351605
tt,50,0.9,0.9,"tt,50,0.9",0.04590477
tt,60,1.0,0.9,"tt,60,1.0",0.08350822
tt,70,1.0,0.9,"tt,70,1.0",1.892937
tt,30,0.9,0.9,"tt,30,0.9",0.05792748
tt,70,0.9,0.9,"tt,70,0.9",0.03476472
tt,110,0.9,0.9,"tt,110,0.9",40.83322
tt,120,0.9,0.9,"tt,120,0.9",0.2412017
tt,20,0.9,0.9,"tt,20,0.9",0.03300421
tt,-40,0.9,0.9,"tt,-40,0.9",0.05943956
tt,-40,1.0,0.9,"tt,-40,1.0",0.01545867
tt,-30,0.9,0.9,"tt,-30,0.9",0.158771
tt,-30,1.0,0.9,"tt,-30,1.0",0.02581425
tt,-20,1.0,0.9,"tt,-20,1.0",0.02201988
tt,-30,1.1,0.9,"tt,-30,1.1",1.551987
tt,-10,1.0,0.9,"tt,-10,1.0",0.02268807
tt,0,0.9,0.9,"tt,0,0.9",0.03342884
tt,0,1.0,0.9,"tt,0,1.0",0.02459496
ss,70,1.0,0.9,"ss,70,1.0",0.06361209
ss,60,1.1,0.9,"ss,60,1.1",0.05573232
sf,-40,0.9,0.9,"sf,-40,0.9",0.04613298
ss,80,1.0,0.9,"ss,80,1.0",0.2290539
ss,90,0.9,0.9,"ss,90,0.9",2.349823
ss,100,1.0,0.9,"ss,100,1.0",0.09778705
sf,-30,1.1,0.9,"sf,-30,1.1",0.01698716
ss,60,1.0,0.9,"ss,60,1.0",0.09371801
ss,90,1.0,0.9,"ss,90,1.0",0.3123802
ss,110,0.9,0.9,"ss,110,0.9",0.7414127
sf,-30,1.0,0.9,"sf,-30,1.0",0.04202876
sf,-40,1.1,0.9,"sf,-40,1.1",0.3716909
sf,-30,0.9,0.9,"sf,-30,0.9",0.06727745
sf,-40,1.0,0.9,"sf,-40,1.0",0.03530456
ss,100,0.9,0.9,"ss,100,0.9",1.016375
sf,-20,1.0,0.9,"sf,-20,1.0",0.09945303
sf,-10,0.9,0.9,"sf,-10,0.9",0.1167621
sf,-20,1.1,0.9,"sf,-20,1.1",0.03073044
sf,-20,0.9,0.9,"sf,-20,0.9",0.09093411
sf,0,0.9,0.9,"sf,0,0.9",0.1597949
ss,60,0.9,0.9,"ss,60,0.9",0.06378953
ss,50,1.0,0.9,"ss,50,1.0",0.03570205
ss,-30,1.1,0.9,"ss,-30,1.1",0.03336969
ss,0,1.1,0.9,"ss,0,1.1",0.02633948
ss,-20,1.0,0.9,"ss,-20,1.0",0.1460584
ss,-40,1.0,0.9,"ss,-40,1.0",0.02868509
ss,30,1.1,0.9,"ss,30,1.1",0.03452222
ss,-40,0.9,0.9,"ss,-40,0.9",0.0007455212
ss,20,1.1,0.9,"ss,20,1.1",0.03047147
ss,40,1.1,0.9,"ss,40,1.1",0.03346976
ss,10,1.0,0.9,"ss,10,1.0",0.03766494
ss,-20,1.1,0.9,"ss,-20,1.1",0.02243027
ss,20,0.9,0.9,"ss,20,0.9",0.3449891
ss,70,1.1,0.9,"ss,70,1.1",0.07245532
ss,0,1.0,0.9,"ss,0,1.0",0.04843586
ss,40,1.0,0.9,"ss,40,1.0",0.03173859
ss,-10,1.0,0.9,"ss,-10,1.0",0.1531071
ss,-20,0.9,0.9,"ss,-20,0.9",0.01150471
ss,-10,0.9,0.9,"ss,-10,0.9",0.03812906
ss,30,0.9,0.9,"ss,30,0.9",0.2542128
ss,-40,1.1,0.9,"ss,-40,1.1",0.0679665
ss,40,0.9,0.9,"ss,40,0.9",0.7071861
ss,-10,1.1,0.9,"ss,-10,1.1",0.02481797
ss,30,1.0,0.9,"ss,30,1.0",0.03216406
ss,10,0.9,0.9,"ss,10,0.9",0.0836074
ss,20,1.0,0.9,"ss,20,1.0",0.03397294
ss,0,0.9,0.9,"ss,0,0.9",0.05789746
ss,10,1.1,0.9,"ss,10,1.1",0.03824061
ss,-30,0.9,0.9,"ss,-30,0.9",0.001828645
sf,-10,1.1,0.9,"sf,-10,1.1",0.04532718
sf,0,1.0,0.9,"sf,0,1.0",45.08006
sf,120,0.9,0.9,"sf,120,0.9",1.693767
sf,-10,1.0,0.9,"sf,-10,1.0",20.07636
sf,90,0.9,0.9,"sf,90,0.9",0.2123562
sf,100,0.9,0.9,"sf,100,0.9",1.008504
sf,0,1.1,0.9,"sf,0,1.1",0.02482812
sf,10,1.0,0.9,"sf,10,1.0",0.04591846
sf,10,0.9,0.9,"sf,10,0.9",1.600535
sf,10,1.1,0.9,"sf,10,1.1",0.03060124
sf,40,0.9,0.9,"sf,40,0.9",3.496537
sf,70,0.9,0.9,"sf,70,0.9",0.1497291
sf,20,1.0,0.9,"sf,20,1.0",0.05273796
sf,40,1.0,0.9,"sf,40,1.0",0.2034291
sf,50,0.9,0.9,"sf,50,0.9",0.07820378
sf,60,1.0,0.9,"sf,60,1.0",0.1631428
sf,20,1.1,0.9,"sf,20,1.1",0.04654362
sf,50,1.1,0.9,"sf,50,1.1",0.08628507
sf,30,1.1,0.9,"sf,30,1.1",0.2034693
sf,30,1.0,0.9,"sf,30,1.0",0.07930995
sf,40,1.1,0.9,"sf,40,1.1",0.06267162
sf,70,1.1,0.9,"sf,70,1.1",0.1372137
sf,80,0.9,0.9,"sf,80,0.9",0.1689318
sf,80,1.0,0.9,"sf,80,1.0",0.5322326
sf,110,0.9,0.9,"sf,110,0.9",5.389243
sf,50,1.0,0.9,"sf,50,1.0",0.2285718
