process,temp,supply,control,corner name,iref
ss,10,0.9,0.9,"ss,10,0.9",2.467350e-01
ff,-20,1.0,0.9,"ff,-20,1.0",8.884680e+01
ff,-10,1.0,0.9,"ff,-10,1.0",8.907682e+01
ff,-10,0.9,0.9,"ff,-10,0.9",8.458848e+01
ff,-10,1.1,0.9,"ff,-10,1.1",9.016690e+01
ff,10,1.0,0.9,"ff,10,1.0",8.924034e+01
ff,0,1.0,0.9,"ff,0,1.0",8.919695e+01
ff,0,1.1,0.9,"ff,0,1.1",9.025312e+01
ff,20,1.1,0.9,"ff,20,1.1",9.029382e+01
ff,10,1.1,0.9,"ff,10,1.1",9.029552e+01
ff,20,1.0,0.9,"ff,20,1.0",8.922345e+01
ff,10,0.9,0.9,"ff,10,0.9",8.666055e+01
ff,20,0.9,0.9,"ff,20,0.9",8.714116e+01
ff,0,0.9,0.9,"ff,0,0.9",8.585671e+01
ff,-20,0.9,0.9,"ff,-20,0.9",8.226125e+01
ff,30,1.0,0.9,"ff,30,1.0",8.915343e+01
ff,30,1.1,0.9,"ff,30,1.1",9.024758e+01
ff,40,0.9,0.9,"ff,40,0.9",8.739523e+01
ff,40,1.1,0.9,"ff,40,1.1",9.015637e+01
ff,50,0.9,0.9,"ff,50,0.9",8.728413e+01
ff,40,1.0,0.9,"ff,40,1.0",8.903334e+01
ff,50,1.0,0.9,"ff,50,1.0",8.886454e+01
ff,50,1.1,0.9,"ff,50,1.1",9.001979e+01
ff,60,0.9,0.9,"ff,60,0.9",8.707830e+01
ff,60,1.0,0.9,"ff,60,1.0",8.864773e+01
ff,60,1.1,0.9,"ff,60,1.1",8.983755e+01
ff,70,0.9,0.9,"ff,70,0.9",8.680215e+01
ff,70,1.1,0.9,"ff,70,1.1",8.960958e+01
ff,70,1.0,0.9,"ff,70,1.0",8.838340e+01
ff,30,0.9,0.9,"ff,30,0.9",8.736699e+01
ff,90,0.9,0.9,"ff,90,0.9",8.607904e+01
ff,-30,1.1,0.9,"ff,-30,1.1",8.986257e+01
ff,-30,1.0,0.9,"ff,-30,1.0",8.845756e+01
fs,70,0.9,0.9,"fs,70,0.9",6.494174e+01
fs,50,1.0,0.9,"fs,50,1.0",6.530525e+01
fs,50,0.9,0.9,"fs,50,0.9",8.157133e+01
fs,50,1.1,0.9,"fs,50,1.1",8.651456e+01
fs,60,1.0,0.9,"fs,60,1.0",8.425937e+01
fs,60,1.1,0.9,"fs,60,1.1",8.625247e+01
fs,80,0.9,0.9,"fs,80,0.9",7.903311e+01
fs,100,0.9,0.9,"fs,100,0.9",5.890315e+00
fs,90,1.1,0.9,"fs,90,1.1",8.505054e+01
