process,temp,supply,control,corner name,iref
ss,-30,0.9,0.9,"ss,-30,0.9",0.03987111
fs,40,0.9,0.9,"fs,40,0.9",62.74504
fs,100,0.9,0.9,"fs,100,0.9",4.892355
fs,90,0.9,0.9,"fs,90,0.9",69.93834
fs,110,0.9,0.9,"fs,110,0.9",5.229682
fs,120,0.9,0.9,"fs,120,0.9",5.549679
fs,120,1.0,0.9,"fs,120,1.0",53.41542
ff,-30,0.9,0.9,"ff,-30,0.9",1.433658
ff,-40,0.9,0.9,"ff,-40,0.9",-0.264313
tt,40,0.9,0.9,"tt,40,0.9",1.769208
tt,50,0.9,0.9,"tt,50,0.9",2.091549
tt,110,0.9,0.9,"tt,110,0.9",4.088368
tt,100,0.9,0.9,"tt,100,0.9",3.76534
tt,60,0.9,0.9,"tt,60,0.9",2.424058
tt,10,0.9,0.9,"tt,10,0.9",65.17984
tt,-30,0.9,0.9,"tt,-30,0.9",0.2553953
tt,-40,1.1,0.9,"tt,-40,1.1",7.619844
tt,20,0.9,0.9,"tt,20,0.9",1.17928
tt,-40,0.9,0.9,"tt,-40,0.9",0.1715011
tt,-20,0.9,0.9,"tt,-20,0.9",0.3691839
tt,-10,0.9,0.9,"tt,-10,0.9",0.5173971
ss,70,0.9,0.9,"ss,70,0.9",0.8895545
ss,70,1.0,0.9,"ss,70,1.0",2.711561
ss,90,0.9,0.9,"ss,90,0.9",1.222927
ss,100,0.9,0.9,"ss,100,0.9",1.398701
ss,90,1.0,0.9,"ss,90,1.0",3.218122
ss,80,0.9,0.9,"ss,80,0.9",1.052463
ss,110,0.9,0.9,"ss,110,0.9",1.577789
ss,110,1.0,0.9,"ss,110,1.0",3.692856
sf,-40,0.9,0.9,"sf,-40,0.9",0.1014669
ss,120,0.9,0.9,"ss,120,0.9",1.758454
sf,-40,1.0,0.9,"sf,-40,1.0",0.8716886
sf,-30,0.9,0.9,"sf,-30,0.9",0.1528625
sf,-20,0.9,0.9,"sf,-20,0.9",0.2236961
sf,-10,0.9,0.9,"sf,-10,0.9",0.3177967
ss,60,0.9,0.9,"ss,60,0.9",59.12344
ss,60,1.0,0.9,"ss,60,1.0",2.448691
ss,20,0.9,0.9,"ss,20,0.9",0.2691402
ss,40,1.0,0.9,"ss,40,1.0",1.913149
ss,-40,0.9,0.9,"ss,-40,0.9",0.02491356
ss,-10,0.9,0.9,"ss,-10,0.9",0.09329744
ss,10,0.9,0.9,"ss,10,0.9",69.54105
ss,-10,1.0,0.9,"ss,-10,1.0",0.6992103
ss,30,0.9,0.9,"ss,30,0.9",0.3610087
ss,-40,1.0,0.9,"ss,-40,1.0",0.2568911
ss,-40,1.1,0.9,"ss,-40,1.1",1.946563
ss,0,0.9,0.9,"ss,0,0.9",0.1367641
ss,50,1.0,0.9,"ss,50,1.0",2.18169
ss,-20,0.9,0.9,"ss,-20,0.9",0.06186804
ss,-30,1.0,0.9,"ss,-30,1.0",0.3725712
ss,40,0.9,0.9,"ss,40,0.9",0.470339
ss,30,1.0,0.9,"ss,30,1.0",1.64654
ss,20,1.0,0.9,"ss,20,1.0",1.38629
ss,10,1.0,0.9,"ss,10,1.0",1.137718
ss,-20,1.1,0.9,"ss,-20,1.1",2.659722
fs,60,0.9,0.9,"fs,60,0.9",3.388782
sf,0,0.9,0.9,"sf,0,0.9",0.4380173
fs,-10,0.9,0.9,"fs,-10,0.9",0.8491189
fs,10,0.9,0.9,"fs,10,0.9",1.44813
fs,0,1.0,0.9,"fs,0,1.0",66.41481
fs,-40,0.9,0.9,"fs,-40,0.9",0.2991483
fs,0,0.9,0.9,"fs,0,0.9",1.127066
fs,-20,0.9,0.9,"fs,-20,0.9",0.6189405
fs,-30,0.9,0.9,"fs,-30,0.9",0.4368901
fs,-10,1.0,0.9,"fs,-10,1.0",67.64535
fs,20,0.9,0.9,"fs,20,0.9",1.804347
fs,30,0.9,0.9,"fs,30,0.9",64.12639
sf,10,0.9,0.9,"sf,10,0.9",0.5857132
sf,80,0.9,0.9,"sf,80,0.9",2.218218
