process,temp,supply,control,corner name,iref
ss,0,1.1,0.9,"ss,0,1.1",-2.27987e+00
ff,-20,0.9,0.9,"ff,-20,0.9",7.970500e+01
ff,-20,1.1,0.9,"ff,-20,1.1",1.354557e+02
ff,-10,1.0,0.9,"ff,-10,1.0",8.093675e+01
ff,-20,1.0,0.9,"ff,-20,1.0",8.103198e+01
ff,10,1.0,0.9,"ff,10,1.0",8.056370e+01
ff,20,0.9,0.9,"ff,20,0.9",7.578958e+01
ff,0,1.0,0.9,"ff,0,1.0",7.730733e+01
ff,20,1.0,0.9,"ff,20,1.0",7.686793e+01
ff,0,0.9,0.9,"ff,0,0.9",7.748000e+01
ff,10,0.9,0.9,"ff,10,0.9",1.387552e+00
ff,30,1.0,0.9,"ff,30,1.0",8.012371e+01
ff,40,0.9,0.9,"ff,40,0.9",7.819837e+01
ff,40,1.0,0.9,"ff,40,1.0",7.987096e+01
ff,-30,1.1,0.9,"ff,-30,1.1",1.129781e+02
ff,30,0.9,0.9,"ff,30,0.9",7.845873e+01
ff,50,0.9,0.9,"ff,50,0.9",7.787577e+01
ff,10,1.1,0.9,"ff,10,1.1",8.381562e+01
ff,50,1.1,0.9,"ff,50,1.1",8.946315e+01
ff,30,1.1,0.9,"ff,30,1.1",5.632758e+01
ff,40,1.1,0.9,"ff,40,1.1",1.985395e+02
ff,0,1.1,0.9,"ff,0,1.1",4.804015e+00
ff,60,1.0,0.9,"ff,60,1.0",7.752664e+01
ff,60,0.9,0.9,"ff,60,0.9",7.755265e+01
ff,20,1.1,0.9,"ff,20,1.1",3.368231e+01
ff,70,1.0,0.9,"ff,70,1.0",7.893903e+01
ff,80,0.9,0.9,"ff,80,0.9",7.532378e+01
ff,70,0.9,0.9,"ff,70,0.9",7.424404e+01
ff,70,1.1,0.9,"ff,70,1.1",1.020898e+02
ff,50,1.0,0.9,"ff,50,1.0",7.608074e+01
ff,90,0.9,0.9,"ff,90,0.9",7.343856e+01
ff,-10,1.1,0.9,"ff,-10,1.1",1.178518e+02
ff,-30,0.9,0.9,"ff,-30,0.9",7.182320e+01
fs,50,1.0,0.9,"fs,50,1.0",7.979704e+01
fs,50,1.1,0.9,"fs,50,1.1",8.025835e+01
fs,60,0.9,0.9,"fs,60,0.9",7.486370e+01
fs,80,1.0,0.9,"fs,80,1.0",7.533248e+01
