process,temp,supply,control,corner name,iref
ss,-30,0.9,0.9,"ss,-30,0.9",3.987111e-02
ff,-20,1.1,0.9,"ff,-20,1.1",8.278178e+01
ff,-20,1.0,0.9,"ff,-20,1.0",8.121421e+01
ff,-10,1.1,0.9,"ff,-10,1.1",8.285635e+01
ff,-10,1.0,0.9,"ff,-10,1.0",8.142553e+01
ff,0,1.1,0.9,"ff,0,1.1",8.289170e+01
ff,10,0.9,0.9,"ff,10,0.9",7.840005e+01
ff,10,1.0,0.9,"ff,10,1.0",8.143706e+01
ff,0,1.0,0.9,"ff,0,1.0",8.144356e+01
ff,0,0.9,0.9,"ff,0,0.9",7.769360e+01
ff,20,0.9,0.9,"ff,20,0.9",7.880409e+01
ff,20,1.1,0.9,"ff,20,1.1",8.284400e+01
ff,30,0.9,0.9,"ff,30,0.9",7.897381e+01
ff,10,1.1,0.9,"ff,10,1.1",8.288772e+01
ff,-30,1.1,0.9,"ff,-30,1.1",8.266756e+01
ff,20,1.0,0.9,"ff,20,1.0",8.137650e+01
ff,40,0.9,0.9,"ff,40,0.9",7.895245e+01
ff,30,1.1,0.9,"ff,30,1.1",8.276001e+01
ff,40,1.0,0.9,"ff,40,1.0",8.111160e+01
ff,50,0.9,0.9,"ff,50,0.9",7.880552e+01
ff,40,1.1,0.9,"ff,40,1.1",8.263519e+01
ff,50,1.0,0.9,"ff,50,1.0",8.091263e+01
ff,60,0.9,0.9,"ff,60,0.9",7.857137e+01
ff,50,1.1,0.9,"ff,50,1.1",8.246903e+01
ff,60,1.0,0.9,"ff,60,1.0",8.066999e+01
ff,60,1.1,0.9,"ff,60,1.1",8.226114e+01
ff,70,0.9,0.9,"ff,70,0.9",7.827287e+01
ff,70,1.0,0.9,"ff,70,1.0",8.038400e+01
ff,70,1.1,0.9,"ff,70,1.1",8.201130e+01
ff,30,1.0,0.9,"ff,30,1.0",8.126638e+01
ff,80,0.9,0.9,"ff,80,0.9",7.792073e+01
ff,-30,1.0,0.9,"ff,-30,1.0",8.090009e+01
ff,-20,0.9,0.9,"ff,-20,0.9",7.441456e+01
fs,40,0.9,0.9,"fs,40,0.9",6.274504e+01
fs,40,1.1,0.9,"fs,40,1.1",8.077864e+01
fs,50,1.0,0.9,"fs,50,1.0",7.832616e+01
fs,60,1.0,0.9,"fs,60,1.0",7.794060e+01
fs,70,0.9,0.9,"fs,70,0.9",7.358441e+01
fs,50,0.9,0.9,"fs,50,0.9",7.491670e+01
fs,50,1.1,0.9,"fs,50,1.1",8.053585e+01
fs,100,0.9,0.9,"fs,100,0.9",4.892355e+00
fs,80,0.9,0.9,"fs,80,0.9",7.234742e+01
fs,70,1.0,0.9,"fs,70,1.0",7.747177e+01
fs,70,1.1,0.9,"fs,70,1.1",7.987434e+01
fs,100,1.1,0.9,"fs,100,1.1",7.835787e+01
fs,80,1.1,0.9,"fs,80,1.1",7.944744e+01
ff,-10,0.9,0.9,"ff,-10,0.9",7.655171e+01
fs,80,1.0,0.9,"fs,80,1.0",7.690010e+01
fs,90,0.9,0.9,"fs,90,0.9",6.993834e+01
fs,90,1.0,0.9,"fs,90,1.0",7.618414e+01
fs,100,1.0,0.9,"fs,100,1.0",7.522603e+01
fs,110,0.9,0.9,"fs,110,0.9",5.229682e+00
fs,110,1.0,0.9,"fs,110,1.0",7.376711e+01
fs,120,0.9,0.9,"fs,120,0.9",5.549679e+00
fs,120,1.1,0.9,"fs,120,1.1",7.675979e+01
fs,120,1.0,0.9,"fs,120,1.0",5.341542e+01
fs,110,1.1,0.9,"fs,110,1.1",7.765111e+01
ff,-30,0.9,0.9,"ff,-30,0.9",1.433658e+00
ff,-40,0.9,0.9,"ff,-40,0.9",-2.64313e-01
ff,-40,1.0,0.9,"ff,-40,1.0",8.038520e+01
ff,-40,1.1,0.9,"ff,-40,1.1",8.251208e+01
fs,90,1.1,0.9,"fs,90,1.1",7.894681e+01
fs,40,1.0,0.9,"fs,40,1.0",7.863848e+01
ff,90,1.0,0.9,"ff,90,1.0",7.968368e+01
ff,80,1.1,0.9,"ff,80,1.1",8.171957e+01
tt,40,0.9,0.9,"tt,40,0.9",1.769208e+00
tt,30,1.1,0.9,"tt,30,1.1",8.387418e+01
tt,30,0.9,0.9,"tt,30,0.9",7.919084e+01
tt,30,1.0,0.9,"tt,30,1.0",8.239148e+01
tt,40,1.0,0.9,"tt,40,1.0",8.226937e+01
tt,50,0.9,0.9,"tt,50,0.9",2.091549e+00
tt,50,1.1,0.9,"tt,50,1.1",8.362593e+01
tt,50,1.0,0.9,"tt,50,1.0",8.209477e+01
tt,40,1.1,0.9,"tt,40,1.1",8.377275e+01
tt,70,1.0,0.9,"tt,70,1.0",8.159991e+01
tt,60,1.1,0.9,"tt,60,1.1",8.343560e+01
tt,80,1.0,0.9,"tt,80,1.0",8.128152e+01
tt,70,0.9,0.9,"tt,70,0.9",7.945123e+01
tt,20,1.1,0.9,"tt,20,1.1",8.393327e+01
tt,80,0.9,0.9,"tt,80,0.9",7.909526e+01
tt,60,1.0,0.9,"tt,60,1.0",8.187105e+01
tt,70,1.1,0.9,"tt,70,1.1",8.320059e+01
tt,80,1.1,0.9,"tt,80,1.1",8.292074e+01
tt,90,0.9,0.9,"tt,90,0.9",7.871624e+01
tt,90,1.0,0.9,"tt,90,1.0",8.091718e+01
tt,120,1.0,0.9,"tt,120,1.0",7.955752e+01
tt,110,0.9,0.9,"tt,110,0.9",4.088368e+00
tt,120,0.9,0.9,"tt,120,0.9",7.725265e+01
tt,100,0.9,0.9,"tt,100,0.9",3.765340e+00
tt,100,1.0,0.9,"tt,100,1.0",8.050751e+01
tt,110,1.0,0.9,"tt,110,1.0",8.005371e+01
tt,90,1.1,0.9,"tt,90,1.1",8.259624e+01
tt,110,1.1,0.9,"tt,110,1.1",8.181616e+01
tt,60,0.9,0.9,"tt,60,0.9",2.424058e+00
ff,80,1.0,0.9,"ff,80,1.0",8.005504e+01
tt,10,0.9,0.9,"tt,10,0.9",6.517984e+01
tt,0,1.0,0.9,"tt,0,1.0",8.230763e+01
ff,90,1.1,0.9,"ff,90,1.1",8.138631e+01
ff,90,0.9,0.9,"ff,90,0.9",7.752016e+01
ff,100,0.9,0.9,"ff,100,0.9",7.707426e+01
ff,110,1.0,0.9,"ff,110,1.0",7.881779e+01
ff,110,0.9,0.9,"ff,110,0.9",7.658551e+01
ff,100,1.0,0.9,"ff,100,1.0",7.927081e+01
ff,100,1.1,0.9,"ff,100,1.1",8.101230e+01
ff,110,1.1,0.9,"ff,110,1.1",8.059888e+01
ff,120,0.9,0.9,"ff,120,0.9",7.605643e+01
tt,-30,0.9,0.9,"tt,-30,0.9",2.553953e-01
ff,120,1.0,0.9,"ff,120,1.0",7.832658e+01
ff,120,1.1,0.9,"ff,120,1.1",8.014802e+01
tt,-40,1.1,0.9,"tt,-40,1.1",7.619844e+00
tt,20,0.9,0.9,"tt,20,0.9",1.179280e+00
tt,-40,0.9,0.9,"tt,-40,0.9",1.715011e-01
tt,-20,0.9,0.9,"tt,-20,0.9",3.691839e-01
tt,-30,1.1,0.9,"tt,-30,1.1",8.358847e+01
tt,-10,0.9,0.9,"tt,-10,0.9",5.173971e-01
