process,temp,supply,control,corner name,iref
ss,-40,0.9,0.9,"ss,-40,0.9",0.03266797
fs,70,0.9,0.9,"fs,70,0.9",4.582536
fs,80,0.9,0.9,"fs,80,0.9",5.036402
fs,100,0.9,0.9,"fs,100,0.9",5.890401
fs,110,0.9,0.9,"fs,110,0.9",6.287358
fs,120,0.9,0.9,"fs,120,0.9",6.663831
ff,-40,0.9,0.9,"ff,-40,0.9",1.336102
ff,-30,0.9,0.9,"ff,-30,0.9",1.809034
tt,40,0.9,0.9,"tt,40,0.9",2.179578
tt,60,0.9,0.9,"tt,60,0.9",63.45133
tt,40,1.1,0.9,"tt,40,1.1",64.49249
tt,50,1.0,0.9,"tt,50,1.0",63.88758
tt,50,0.9,0.9,"tt,50,0.9",2.566787
tt,80,1.0,0.9,"tt,80,1.0",59.20644
ff,80,1.1,0.9,"ff,80,1.1",57.72079
tt,-40,0.9,0.9,"tt,-40,0.9",0.221825
tt,20,0.9,0.9,"tt,20,0.9",1.466167
tt,-20,0.9,0.9,"tt,-20,0.9",0.4704103
tt,0,0.9,0.9,"tt,0,0.9",0.8833094
tt,-10,0.9,0.9,"tt,-10,0.9",0.6547693
tt,-30,0.9,0.9,"tt,-30,0.9",0.3278124
sf,-20,0.9,0.9,"sf,-20,0.9",0.2873556
ss,70,1.0,0.9,"ss,70,1.0",3.211217
ss,90,1.0,0.9,"ss,90,1.0",3.79898
ss,100,0.9,0.9,"ss,100,0.9",1.70693
ss,80,0.9,0.9,"ss,80,0.9",1.291685
ss,80,1.0,0.9,"ss,80,1.0",3.509481
ss,100,1.0,0.9,"ss,100,1.0",4.078873
ss,70,0.9,0.9,"ss,70,0.9",1.095388
ss,120,0.9,0.9,"ss,120,0.9",2.136179
sf,-30,0.9,0.9,"sf,-30,0.9",0.197745
sf,-40,0.9,0.9,"sf,-40,0.9",0.1322238
sf,-40,1.0,0.9,"sf,-40,1.0",1.072393
sf,-10,0.9,0.9,"sf,-10,0.9",0.405528
ss,110,1.0,0.9,"ss,110,1.0",4.348654
ss,60,1.0,0.9,"ss,60,1.0",2.905533
ss,-30,0.9,0.9,"ss,-30,0.9",0.05189335
ss,-40,1.0,0.9,"ss,-40,1.0",0.3176994
ss,20,1.0,0.9,"ss,20,1.0",1.662996
ss,40,0.9,0.9,"ss,40,0.9",0.5863744
ss,10,1.1,0.9,"ss,10,1.1",68.65353
ss,-40,1.1,0.9,"ss,-40,1.1",2.283421
ss,0,0.9,0.9,"ss,0,0.9",0.1743821
ss,-20,0.9,0.9,"ss,-20,0.9",0.07995206
ss,-30,1.1,0.9,"ss,-30,1.1",2.796764
ss,10,1.0,0.9,"ss,10,1.0",1.369949
ss,-10,0.9,0.9,"ss,-10,0.9",0.1197427
ss,40,1.0,0.9,"ss,40,1.0",2.280863
ss,0,1.0,0.9,"ss,0,1.0",1.096472
ss,-10,1.0,0.9,"ss,-10,1.0",0.8496006
ss,50,0.9,0.9,"ss,50,0.9",0.7398383
ss,20,0.9,0.9,"ss,20,0.9",0.3390501
sf,30,0.9,0.9,"sf,30,0.9",1.19869
fs,-40,1.0,0.9,"fs,-40,1.0",3.140764
fs,-40,0.9,0.9,"fs,-40,0.9",0.3836814
fs,-30,0.9,0.9,"fs,-30,0.9",0.5558945
fs,-30,1.1,0.9,"fs,-30,1.1",15.20497
fs,-20,0.9,0.9,"fs,-20,0.9",0.7816254
fs,-30,1.0,0.9,"fs,-30,1.0",3.951719
fs,0,0.9,0.9,"fs,0,0.9",1.404295
fs,-10,0.9,0.9,"fs,-10,0.9",1.0648
fs,20,0.9,0.9,"fs,20,0.9",2.223697
fs,20,1.0,0.9,"fs,20,1.0",69.38676
sf,0,0.9,0.9,"sf,0,0.9",0.5554511
sf,10,0.9,0.9,"sf,10,0.9",0.7384291
sf,20,0.9,0.9,"sf,20,0.9",0.9537071
sf,50,1.1,0.9,"sf,50,1.1",11.34191
sf,80,1.1,0.9,"sf,80,1.1",59.32439
