process,temp,supply,control,corner name,iref
ss,-20,0.9,0.9,"ss,-20,0.9",1.150471e-02
ff,-30,1.0,0.9,"ff,-30,1.0",8.950771e+01
ff,-10,0.9,0.9,"ff,-10,0.9",8.796943e+01
ff,-10,1.0,0.9,"ff,-10,1.0",8.942259e+01
ff,0,1.0,0.9,"ff,0,1.0",8.927029e+01
ff,20,1.0,0.9,"ff,20,1.0",8.894807e+01
ff,0,0.9,0.9,"ff,0,0.9",8.792624e+01
ff,10,1.0,0.9,"ff,10,1.0",8.918606e+01
ff,20,0.9,0.9,"ff,20,0.9",1.634496e-01
ff,10,0.9,0.9,"ff,10,0.9",8.804778e+01
ff,40,1.0,0.9,"ff,40,1.0",8.845179e+01
ff,30,1.1,0.9,"ff,30,1.1",1.196320e+02
ff,30,1.0,0.9,"ff,30,1.0",8.875763e+01
ff,20,1.1,0.9,"ff,20,1.1",1.240750e+02
ff,-30,1.1,0.9,"ff,-30,1.1",1.196105e+01
ff,40,0.9,0.9,"ff,40,0.9",8.731858e+01
ff,40,1.1,0.9,"ff,40,1.1",1.420914e+02
ff,60,0.9,0.9,"ff,60,0.9",8.664519e+01
ff,-10,1.1,0.9,"ff,-10,1.1",1.369357e+02
ff,30,0.9,0.9,"ff,30,0.9",8.765208e+01
ff,50,1.0,0.9,"ff,50,1.0",8.822048e+01
ff,50,1.1,0.9,"ff,50,1.1",1.168506e+02
ff,10,1.1,0.9,"ff,10,1.1",4.473270e+01
ff,60,1.1,0.9,"ff,60,1.1",1.149456e+02
ff,60,1.0,0.9,"ff,60,1.0",8.784759e+01
ff,0,1.1,0.9,"ff,0,1.1",1.463272e+02
ff,70,0.9,0.9,"ff,70,0.9",8.634368e+01
ff,70,1.0,0.9,"ff,70,1.0",8.749035e+01
ff,70,1.1,0.9,"ff,70,1.1",1.116237e+02
ff,50,0.9,0.9,"ff,50,0.9",8.699195e+01
ff,80,0.9,0.9,"ff,80,0.9",8.589574e+01
ff,-20,1.0,0.9,"ff,-20,1.0",8.984466e+01
ff,-20,0.9,0.9,"ff,-20,0.9",9.325716e+01
fs,40,1.0,0.9,"fs,40,1.0",8.680850e+01
fs,40,1.1,0.9,"fs,40,1.1",8.998688e+01
fs,50,1.1,0.9,"fs,50,1.1",8.849062e+01
fs,50,0.9,0.9,"fs,50,0.9",8.519428e+01
fs,80,1.1,0.9,"fs,80,1.1",8.649094e+01
fs,60,1.1,0.9,"fs,60,1.1",8.738373e+01
fs,60,1.0,0.9,"fs,60,1.0",8.613064e+01
fs,70,1.0,0.9,"fs,70,1.0",8.580671e+01
fs,80,1.0,0.9,"fs,80,1.0",8.532707e+01
fs,70,1.1,0.9,"fs,70,1.1",8.692396e+01
fs,100,1.1,0.9,"fs,100,1.1",8.567944e+01
fs,70,0.9,0.9,"fs,70,0.9",8.433053e+01
fs,110,1.1,0.9,"fs,110,1.1",8.514059e+01
ff,-20,1.1,0.9,"ff,-20,1.1",1.095944e+02
fs,100,0.9,0.9,"fs,100,0.9",8.275618e+01
fs,90,1.1,0.9,"fs,90,1.1",8.612908e+01
fs,80,0.9,0.9,"fs,80,0.9",8.388134e+01
fs,110,1.0,0.9,"fs,110,1.0",8.384816e+01
fs,90,0.9,0.9,"fs,90,0.9",8.331609e+01
fs,100,1.0,0.9,"fs,100,1.0",8.437804e+01
fs,110,0.9,0.9,"fs,110,0.9",8.207932e+01
fs,120,0.9,0.9,"fs,120,0.9",8.135021e+01
fs,120,1.0,0.9,"fs,120,1.0",8.324886e+01
fs,120,1.1,0.9,"fs,120,1.1",8.465175e+01
ff,-40,1.0,0.9,"ff,-40,1.0",8.942023e+01
ff,-40,0.9,0.9,"ff,-40,0.9",6.075530e+01
ff,-40,1.1,0.9,"ff,-40,1.1",1.142144e-01
ff,-30,0.9,0.9,"ff,-30,0.9",8.931156e+01
fs,90,1.0,0.9,"fs,90,1.0",8.486511e+01
fs,60,0.9,0.9,"fs,60,0.9",8.482423e+01
ff,80,1.0,0.9,"ff,80,1.0",8.713061e+01
ff,90,0.9,0.9,"ff,90,0.9",8.542878e+01
tt,40,1.0,0.9,"tt,40,1.0",3.516050e-02
tt,40,1.1,0.9,"tt,40,1.1",8.880033e+01
tt,40,0.9,0.9,"tt,40,0.9",3.168649e-02
tt,20,1.1,0.9,"tt,20,1.1",8.904932e+01
tt,50,0.9,0.9,"tt,50,0.9",4.590477e-02
tt,60,0.9,0.9,"tt,60,0.9",8.623770e+01
tt,30,1.0,0.9,"tt,30,1.0",8.803202e+01
tt,70,0.9,0.9,"tt,70,0.9",3.476472e-02
tt,50,1.0,0.9,"tt,50,1.0",8.766528e+01
tt,30,1.1,0.9,"tt,30,1.1",8.895869e+01
tt,50,1.1,0.9,"tt,50,1.1",8.856720e+01
tt,60,1.0,0.9,"tt,60,1.0",8.350822e-02
tt,90,0.9,0.9,"tt,90,0.9",8.515473e+01
tt,30,0.9,0.9,"tt,30,0.9",5.792748e-02
tt,70,1.0,0.9,"tt,70,1.0",1.892937e+00
tt,70,1.1,0.9,"tt,70,1.1",8.811761e+01
tt,80,1.1,0.9,"tt,80,1.1",8.777480e+01
tt,80,0.9,0.9,"tt,80,0.9",8.555572e+01
tt,80,1.0,0.9,"tt,80,1.0",8.682139e+01
tt,90,1.0,0.9,"tt,90,1.0",8.645001e+01
tt,90,1.1,0.9,"tt,90,1.1",8.748896e+01
tt,100,1.1,0.9,"tt,100,1.1",8.707426e+01
tt,100,1.0,0.9,"tt,100,1.0",8.603969e+01
tt,100,0.9,0.9,"tt,100,0.9",8.471668e+01
tt,110,0.9,0.9,"tt,110,0.9",4.083322e+01
tt,110,1.0,0.9,"tt,110,1.0",8.559420e+01
tt,110,1.1,0.9,"tt,110,1.1",8.670524e+01
tt,120,1.0,0.9,"tt,120,1.0",8.513017e+01
tt,60,1.1,0.9,"tt,60,1.1",8.838546e+01
ff,80,1.1,0.9,"ff,80,1.1",1.100935e+02
tt,20,1.0,0.9,"tt,20,1.0",8.820396e+01
tt,10,0.9,0.9,"tt,10,0.9",8.652522e+01
ff,90,1.0,0.9,"ff,90,1.0",8.671088e+01
ff,100,1.0,0.9,"ff,100,1.0",8.625951e+01
ff,110,0.9,0.9,"ff,110,0.9",8.444717e+01
ff,90,1.1,0.9,"ff,90,1.1",1.085997e+02
ff,100,1.1,0.9,"ff,100,1.1",1.050993e+02
ff,120,0.9,0.9,"ff,120,0.9",8.388384e+01
ff,110,1.0,0.9,"ff,110,1.0",8.578427e+01
ff,100,0.9,0.9,"ff,100,0.9",8.494513e+01
tt,-40,0.9,0.9,"tt,-40,0.9",5.943956e-02
ff,110,1.1,0.9,"ff,110,1.1",1.037017e+02
ff,120,1.0,0.9,"ff,120,1.0",8.527078e+01
tt,-30,0.9,0.9,"tt,-30,0.9",1.587710e-01
ff,120,1.1,0.9,"ff,120,1.1",1.008795e+02
tt,20,0.9,0.9,"tt,20,0.9",3.300421e-02
tt,-40,1.0,0.9,"tt,-40,1.0",1.545867e-02
tt,-30,1.0,0.9,"tt,-30,1.0",2.581425e-02
tt,-40,1.1,0.9,"tt,-40,1.1",2.291692e+03
tt,-20,0.9,0.9,"tt,-20,0.9",8.462349e+01
tt,-20,1.1,0.9,"tt,-20,1.1",8.914637e+01
tt,-10,0.9,0.9,"tt,-10,0.9",8.421358e+01
tt,-10,1.0,0.9,"tt,-10,1.0",2.268807e-02
tt,-20,1.0,0.9,"tt,-20,1.0",2.201988e-02
tt,0,1.0,0.9,"tt,0,1.0",2.459496e-02
tt,0,0.9,0.9,"tt,0,0.9",3.342884e-02
tt,0,1.1,0.9,"tt,0,1.1",8.918011e+01
tt,10,1.1,0.9,"tt,10,1.1",8.914414e+01
tt,-10,1.1,0.9,"tt,-10,1.1",8.923702e+01
tt,10,1.0,0.9,"tt,10,1.0",8.832469e+01
tt,-30,1.1,0.9,"tt,-30,1.1",1.551987e+00
tt,120,0.9,0.9,"tt,120,0.9",2.412017e-01
fs,50,1.0,0.9,"fs,50,1.0",8.652274e+01
fs,30,1.0,0.9,"fs,30,1.0",8.702049e+01
ss,70,0.9,0.9,"ss,70,0.9",8.499947e+01
ss,90,1.0,0.9,"ss,90,1.0",3.123802e-01
ss,70,1.0,0.9,"ss,70,1.0",6.361209e-02
ss,70,1.1,0.9,"ss,70,1.1",7.245532e-02
ss,80,0.9,0.9,"ss,80,0.9",9.733949e+01
