process,temp,supply,control,corner name,iref
ss,0,1.0,0.9,"ss,0,1.0",-1.93268
ff,10,0.9,0.9,"ff,10,0.9",1.387552
ff,0,1.1,0.9,"ff,0,1.1",4.804015
ff,20,1.1,0.9,"ff,20,1.1",33.68231
ff,30,1.1,0.9,"ff,30,1.1",56.32758
ff,-40,0.9,0.9,"ff,-40,0.9",1.825296
tt,20,1.0,0.9,"tt,20,1.0",-1.79962
tt,40,0.9,0.9,"tt,40,0.9",1.600503
tt,40,1.0,0.9,"tt,40,1.0",-1.69887
tt,50,0.9,0.9,"tt,50,0.9",1.637078
tt,60,0.9,0.9,"tt,60,0.9",1.519911
tt,70,0.9,0.9,"tt,70,0.9",1.596166
tt,30,0.9,0.9,"tt,30,0.9",1.604122
tt,70,1.0,0.9,"tt,70,1.0",2.051518
tt,80,0.9,0.9,"tt,80,0.9",1.63733
tt,90,1.0,0.9,"tt,90,1.0",2.005343
tt,100,0.9,0.9,"tt,100,0.9",1.58039
tt,10,1.1,0.9,"tt,10,1.1",2.103815
tt,10,1.0,0.9,"tt,10,1.0",-1.76759
tt,-40,0.9,0.9,"tt,-40,0.9",-1.46335
tt,-40,1.0,0.9,"tt,-40,1.0",2.244886
tt,-40,1.1,0.9,"tt,-40,1.1",0.02220345
tt,-30,0.9,0.9,"tt,-30,0.9",-1.30529
tt,-20,1.1,0.9,"tt,-20,1.1",49.93602
tt,0,1.0,0.9,"tt,0,1.0",-1.76323
tt,0,1.1,0.9,"tt,0,1.1",2.097265
tt,20,0.9,0.9,"tt,20,0.9",1.497274
tt,-30,1.0,0.9,"tt,-30,1.0",-1.73163
ss,80,0.9,0.9,"ss,80,0.9",-1.17973
ss,70,1.1,0.9,"ss,70,1.1",-2.22194
ss,70,1.0,0.9,"ss,70,1.0",-1.89109
sf,-40,1.0,0.9,"sf,-40,1.0",-1.987
sf,-40,1.1,0.9,"sf,-40,1.1",2.471852
sf,-40,0.9,0.9,"sf,-40,0.9",-1.64095
ss,90,0.9,0.9,"ss,90,0.9",1.797449
ss,100,0.9,0.9,"ss,100,0.9",1.761385
sf,-30,0.9,0.9,"sf,-30,0.9",-1.6315
ss,110,0.9,0.9,"ss,110,0.9",1.819656
sf,-20,0.9,0.9,"sf,-20,0.9",-1.61927
sf,-30,1.0,0.9,"sf,-30,1.0",-1.98951
sf,-30,1.1,0.9,"sf,-30,1.1",2.347802
sf,-20,1.1,0.9,"sf,-20,1.1",2.359792
sf,-20,1.0,0.9,"sf,-20,1.0",-1.96882
sf,-10,1.0,0.9,"sf,-10,1.0",-0.18887
sf,-10,0.9,0.9,"sf,-10,0.9",-1.60235
