process,temp,supply,control,corner name,iref
fs,90,0.9,0.9,"fs,90,0.9",4.53813
fs,110,0.9,0.9,"fs,110,0.9",5.229536
fs,120,0.9,0.9,"fs,120,0.9",5.549384
ff,-40,0.9,0.9,"ff,-40,0.9",1.050723
ff,-30,0.9,0.9,"ff,-30,0.9",1.433491
fs,100,0.9,0.9,"fs,100,0.9",4.892249
ff,80,1.0,0.9,"ff,80,1.0",52.43377
tt,30,1.0,0.9,"tt,30,1.0",61.06454
tt,-40,0.9,0.9,"tt,-40,0.9",0.1713427
tt,-30,0.9,0.9,"tt,-30,0.9",0.2552719
tt,-20,1.0,0.9,"tt,-20,1.0",2.484424
tt,-10,0.9,0.9,"tt,-10,0.9",0.5173489
tt,0,0.9,0.9,"tt,0,0.9",67.38937
tt,0,1.1,0.9,"tt,0,1.1",64.33381
tt,-20,0.9,0.9,"tt,-20,0.9",0.3690873
sf,-40,1.0,0.9,"sf,-40,1.0",0.8716155
ss,70,1.0,0.9,"ss,70,1.0",56.96981
sf,-20,0.9,0.9,"sf,-20,0.9",0.2236463
sf,-40,0.9,0.9,"sf,-40,0.9",0.1013838
sf,-30,1.0,0.9,"sf,-30,1.0",1.165365
sf,-30,0.9,0.9,"sf,-30,0.9",0.1527984
sf,-10,0.9,0.9,"sf,-10,0.9",0.3177573
ss,60,1.0,0.9,"ss,60,1.0",58.37054
ss,-20,0.9,0.9,"ss,-20,0.9",0.06180949
ss,-10,0.9,0.9,"ss,-10,0.9",0.09325151
ss,-30,0.9,0.9,"ss,-30,0.9",0.03979619
ss,0,0.9,0.9,"ss,0,0.9",0.136728
ss,10,0.9,0.9,"ss,10,0.9",0.1947101
ss,-40,0.9,0.9,"ss,-40,0.9",0.02481704
ss,-40,1.0,0.9,"ss,-40,1.0",0.256793
ss,50,1.0,0.9,"ss,50,1.0",59.742
ss,20,0.9,0.9,"ss,20,0.9",0.2691186
sf,10,0.9,0.9,"sf,10,0.9",0.5856892
fs,-40,0.9,0.9,"fs,-40,0.9",0.2988301
fs,-30,0.9,0.9,"fs,-30,0.9",0.4366432
fs,-10,0.9,0.9,"fs,-10,0.9",0.8489603
fs,30,1.0,0.9,"fs,30,1.0",7.485733
fs,-20,0.9,0.9,"fs,-20,0.9",0.6187487
sf,0,0.9,0.9,"sf,0,0.9",0.4379865
sf,20,0.9,0.9,"sf,20,0.9",0.7605316
sf,30,0.9,0.9,"sf,30,0.9",63.71922
sf,40,1.1,0.9,"sf,40,1.1",59.86743
sf,60,1.1,0.9,"sf,60,1.1",57.12419
sf,90,0.9,0.9,"sf,90,0.9",2.495678
