 time       v(up)      v(dn)      v(FB)      v(REF)    
 0.000e+00  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.000e-13  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.000e-13  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.000e-13  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.000e-13  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.600e-12  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.200e-12  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.400e-12  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.280e-11  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.280e-11  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.280e-11  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.280e-11  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 5.280e-11  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.280e-11  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 7.280e-11  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.280e-11  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 9.280e-11  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.028e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.128e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.228e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.328e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.428e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.528e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.628e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.728e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.828e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.928e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.028e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.128e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.228e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.328e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.428e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.528e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.628e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.728e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.828e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 2.928e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.028e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.128e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.228e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.328e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.428e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.528e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.628e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.728e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.828e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 3.928e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.028e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.128e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.228e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.328e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.428e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.528e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.628e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.728e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.828e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 4.928e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 5.028e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 5.128e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 5.228e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 5.328e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 5.428e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 5.528e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 5.628e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 5.728e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 5.828e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 5.928e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.028e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.128e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.228e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.328e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.428e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.528e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.628e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.728e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.828e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 6.928e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 7.028e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 7.128e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 7.228e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 7.328e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 7.428e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 7.528e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 7.628e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 7.728e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 7.828e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 7.928e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.028e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.128e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.228e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.328e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.428e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.528e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.628e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.728e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.828e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 8.928e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 9.028e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 9.128e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 9.228e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 9.328e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 9.428e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 9.528e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 9.628e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 9.728e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 9.828e-10  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
