process,temp,supply,REF delay,FB delay,tup_check,Corner Status
sf,-40,0.9,10n,1n,3.269101e-08,True
fs,125,0.9,10n,1n,2.237298e-04,True
tt,-40,0.9,10n,1n,1.242486e-09,True
ss,125,0.9,10n,1n,1.226921e-06,True
ss,27,0.9,10n,1n,3.759754e-08,True
tt,125,0.9,10n,1n,1.976013e-05,True
fs,-40,0.9,10n,1n,1.047800e-07,True
fs,27,0.9,10n,1n,4.600170e-06,True
ss,-40,0.9,10n,1n,2.556822e-08,True
ff,125,0.9,10n,1n,9.296643e-05,True
sf,125,0.9,10n,1n,1.619999e+00,False
sf,27,0.9,10n,1n,1.620000e+00,False
ff,27,0.9,10n,1n,1.390999e-06,True
tt,27,0.9,10n,1n,8.331183e-08,True
ff,-40,0.9,10n,1n,1.154414e-08,True
ff,125,1.0,10n,1n,1.096322e-04,True
ff,27,1.0,10n,1n,1.773809e-06,True
tt,-40,1.0,10n,1n,8.215239e-10,True
ss,27,1.0,10n,1n,1.313216e-09,True
ss,-40,1.0,10n,1n,6.104318e-10,True
ff,-40,1.0,10n,1n,1.709146e-08,True
tt,27,1.0,10n,1n,1.079228e-07,True
sf,27,1.0,10n,1n,1.800000e+00,False
fs,125,1.0,10n,1n,2.697261e-04,True
sf,-40,1.0,10n,1n,6.273165e-10,True
tt,125,1.0,10n,1n,2.268477e-05,True
fs,27,1.0,10n,1n,5.836228e-06,True
ss,125,1.0,10n,1n,1.490949e-06,True
fs,-40,1.0,10n,1n,8.855941e-08,True
sf,125,1.0,10n,1n,1.799999e+00,False
ff,-40,1.1,10n,1n,2.493900e-08,True
sf,27,1.1,10n,1n,1.980000e+00,False
ss,27,1.1,10n,1n,1.798161e-09,True
tt,-40,1.1,10n,1n,1.542929e-09,True
sf,-40,1.1,10n,1n,9.936039e-10,True
tt,27,1.1,10n,1n,1.493031e-07,True
ss,-40,1.1,10n,1n,1.219805e-09,True
tt,125,1.1,10n,1n,2.660840e-05,True
ff,125,1.1,10n,1n,1.327492e-04,True
ss,125,1.1,10n,1n,1.859294e-06,True
ff,27,1.1,10n,1n,2.307356e-06,True
fs,125,1.1,10n,1n,3.361467e-04,True
fs,-40,1.1,10n,1n,1.296047e-07,True
fs,27,1.1,10n,1n,7.657303e-06,True
sf,125,1.1,10n,1n,1.979999e+00,False
