process,temp,supply,control,UP,Down,corner name,i_out
tt,-27,1,0.0,0.0,0.0,"tt,-27,1",2.841862e-06
tt,-27,1,0.0,0.0,1.8,"tt,-27,1",2.862753e-06
tt,-27,1,0.0,1.8,0.0,"tt,-27,1",9.928854e+01
tt,-27,1,0.0,1.8,1.8,"tt,-27,1",9.928853e+01
tt,-27,1,0.1,1.8,0.0,"tt,-27,1",9.928490e+01
tt,-27,1,0.1,0.0,0.0,"tt,-27,1",2.107203e-06
tt,-27,1,0.1,1.8,1.8,"tt,-27,1",3.089251e+01
tt,-27,1,0.1,0.0,1.8,"tt,-27,1",-6.83924e+01
tt,-27,1,0.2,0.0,0.0,"tt,-27,1",1.628919e-06
tt,-27,1,0.2,0.0,1.8,"tt,-27,1",-9.34467e+01
