process,temp,supply,control,UP,Down,corner name,i_out
ff,-40,0.9,0.0,1.8,0.0,"ff,-40,0.9",93.95492
ff,-40,0.9,0.1,1.8,0.0,"ff,-40,0.9",93.95006
ff,-40,0.9,0.2,1.8,0.0,"ff,-40,0.9",93.94507
ff,-40,0.9,0.3,1.8,0.0,"ff,-40,0.9",93.93992
ff,-40,0.9,0.4,1.8,0.0,"ff,-40,0.9",93.93458
ff,-40,0.9,0.5,1.8,0.0,"ff,-40,0.9",93.92903
ff,-40,0.9,0.6,1.8,0.0,"ff,-40,0.9",93.92321
ff,-40,0.9,0.7,1.8,0.0,"ff,-40,0.9",93.91703
ff,-40,0.9,0.8,1.8,0.0,"ff,-40,0.9",93.91029
ff,-40,0.9,0.9,1.8,0.0,"ff,-40,0.9",93.90224
ff,-40,0.9,1.0,1.8,0.0,"ff,-40,0.9",93.88821
ff,-40,0.9,1.1,1.8,0.0,"ff,-40,0.9",93.85697
ff,-40,0.9,1.2,1.8,0.0,"ff,-40,0.9",93.77648
ff,-40,0.9,1.3,1.8,0.0,"ff,-40,0.9",93.22269
ff,-40,0.9,1.4,1.8,0.0,"ff,-40,0.9",89.32563
ff,-40,0.9,1.5,1.8,0.0,"ff,-40,0.9",68.90626
ff,-40,0.9,1.6,1.8,0.0,"ff,-40,0.9",15.01289
ff,-40,0.9,1.7,1.8,0.0,"ff,-40,0.9",-76.52
ff,-40,0.9,1.8,1.8,0.0,"ff,-40,0.9",-205.974
ff,-40,1.0,0.0,1.8,0.0,"ff,-40,1.0",99.49017
ff,-40,1.0,0.1,1.8,0.0,"ff,-40,1.0",99.48628
ff,-40,1.0,0.2,1.8,0.0,"ff,-40,1.0",99.48231
ff,-40,1.0,0.3,1.8,0.0,"ff,-40,1.0",99.47826
ff,-40,1.0,0.4,1.8,0.0,"ff,-40,1.0",99.47411
ff,-40,1.0,0.5,1.8,0.0,"ff,-40,1.0",99.46984
ff,-40,1.0,0.6,1.8,0.0,"ff,-40,1.0",99.46543
ff,-40,1.0,0.7,1.8,0.0,"ff,-40,1.0",99.46082
ff,-40,1.0,0.8,1.8,0.0,"ff,-40,1.0",99.4559
ff,-40,1.0,0.9,1.8,0.0,"ff,-40,1.0",99.45025
ff,-40,1.0,1.0,1.8,0.0,"ff,-40,1.0",99.44131
ff,-40,1.0,1.1,1.8,0.0,"ff,-40,1.0",99.42386
ff,-40,1.0,1.2,1.8,0.0,"ff,-40,1.0",99.39587
ff,-40,1.0,1.3,1.8,0.0,"ff,-40,1.0",99.35291
ff,-40,1.0,1.4,1.8,0.0,"ff,-40,1.0",99.24607
ff,-40,1.0,1.5,1.8,0.0,"ff,-40,1.0",98.37739
ff,-40,1.0,1.6,1.8,0.0,"ff,-40,1.0",92.68846
ff,-40,1.0,1.7,1.8,0.0,"ff,-40,1.0",64.91348
ff,-40,1.0,1.8,1.8,0.0,"ff,-40,1.0",-0.000185452
ff,-40,1.1,0.0,1.8,0.0,"ff,-40,1.1",99.83677
ff,-40,1.1,0.1,1.8,0.0,"ff,-40,1.1",99.83334
ff,-40,1.1,0.2,1.8,0.0,"ff,-40,1.1",99.82985
ff,-40,1.1,0.3,1.8,0.0,"ff,-40,1.1",99.8263
ff,-40,1.1,0.4,1.8,0.0,"ff,-40,1.1",99.82269
ff,-40,1.1,0.5,1.8,0.0,"ff,-40,1.1",99.81899
ff,-40,1.1,0.6,1.8,0.0,"ff,-40,1.1",99.81519
ff,-40,1.1,0.7,1.8,0.0,"ff,-40,1.1",99.81125
ff,-40,1.1,0.8,1.8,0.0,"ff,-40,1.1",99.80709
ff,-40,1.1,0.9,1.8,0.0,"ff,-40,1.1",99.80238
ff,-40,1.1,1.0,1.8,0.0,"ff,-40,1.1",99.79526
ff,-40,1.1,1.1,1.8,0.0,"ff,-40,1.1",99.78176
ff,-40,1.1,1.2,1.8,0.0,"ff,-40,1.1",99.76124
ff,-40,1.1,1.3,1.8,0.0,"ff,-40,1.1",99.73448
ff,-40,1.1,1.4,1.8,0.0,"ff,-40,1.1",99.7005
ff,-40,1.1,1.5,1.8,0.0,"ff,-40,1.1",99.65218
ff,-40,1.1,1.6,1.8,0.0,"ff,-40,1.1",99.51749
ff,-40,1.1,1.7,1.8,0.0,"ff,-40,1.1",98.32619
ff,-40,1.1,1.8,1.8,0.0,"ff,-40,1.1",90.54901
ff,125,0.9,0.0,1.8,0.0,"ff,125,0.9",99.26463
ff,125,0.9,0.1,1.8,0.0,"ff,125,0.9",99.25603
ff,125,0.9,0.2,1.8,0.0,"ff,125,0.9",99.24726
ff,125,0.9,0.3,1.8,0.0,"ff,125,0.9",99.23814
ff,125,0.9,0.4,1.8,0.0,"ff,125,0.9",99.2285
ff,125,0.9,0.5,1.8,0.0,"ff,125,0.9",99.21793
ff,125,0.9,0.6,1.8,0.0,"ff,125,0.9",99.20464
ff,125,0.9,0.7,1.8,0.0,"ff,125,0.9",99.18243
ff,125,0.9,0.8,1.8,0.0,"ff,125,0.9",99.14513
ff,125,0.9,0.9,1.8,0.0,"ff,125,0.9",99.08996
ff,125,0.9,1.0,1.8,0.0,"ff,125,0.9",99.01162
ff,125,0.9,1.1,1.8,0.0,"ff,125,0.9",98.88427
ff,125,0.9,1.2,1.8,0.0,"ff,125,0.9",98.47035
ff,125,0.9,1.3,1.8,0.0,"ff,125,0.9",95.94944
ff,125,0.9,1.4,1.8,0.0,"ff,125,0.9",85.76567
ff,125,0.9,1.5,1.8,0.0,"ff,125,0.9",59.30088
ff,125,0.9,1.6,1.8,0.0,"ff,125,0.9",11.97277
ff,125,0.9,1.7,1.8,0.0,"ff,125,0.9",-58.8244
ff,125,0.9,1.8,1.8,0.0,"ff,125,0.9",-155.603
ff,125,1.0,0.0,1.8,0.0,"ff,125,1.0",99.91222
ff,125,1.0,0.1,1.8,0.0,"ff,125,1.0",99.90482
ff,125,1.0,0.2,1.8,0.0,"ff,125,1.0",99.89733
ff,125,1.0,0.3,1.8,0.0,"ff,125,1.0",99.88958
ff,125,1.0,0.4,1.8,0.0,"ff,125,1.0",99.88146
ff,125,1.0,0.5,1.8,0.0,"ff,125,1.0",99.87269
ff,125,1.0,0.6,1.8,0.0,"ff,125,1.0",99.8621
ff,125,1.0,0.7,1.8,0.0,"ff,125,1.0",99.84529
ff,125,1.0,0.8,1.8,0.0,"ff,125,1.0",99.81731
ff,125,1.0,0.9,1.8,0.0,"ff,125,1.0",99.77704
ff,125,1.0,1.0,1.8,0.0,"ff,125,1.0",99.72444
ff,125,1.0,1.1,1.8,0.0,"ff,125,1.0",99.6579
ff,125,1.0,1.2,1.8,0.0,"ff,125,1.0",99.57057
ff,125,1.0,1.3,1.8,0.0,"ff,125,1.0",99.43005
ff,125,1.0,1.4,1.8,0.0,"ff,125,1.0",98.91426
ff,125,1.0,1.5,1.8,0.0,"ff,125,1.0",95.71854
ff,125,1.0,1.6,1.8,0.0,"ff,125,1.0",83.23523
ff,125,1.0,1.7,1.8,0.0,"ff,125,1.0",52.40256
ff,125,1.0,1.8,1.8,0.0,"ff,125,1.0",-0.751009
ff,125,1.1,0.0,1.8,0.0,"ff,125,1.1",100.1881
ff,125,1.1,0.1,1.8,0.0,"ff,125,1.1",100.1815
ff,125,1.1,0.2,1.8,0.0,"ff,125,1.1",100.1748
ff,125,1.1,0.3,1.8,0.0,"ff,125,1.1",100.1678
ff,125,1.1,0.4,1.8,0.0,"ff,125,1.1",100.1607
ff,125,1.1,0.5,1.8,0.0,"ff,125,1.1",100.153
ff,125,1.1,0.6,1.8,0.0,"ff,125,1.1",100.144
ff,125,1.1,0.7,1.8,0.0,"ff,125,1.1",100.1303
ff,125,1.1,0.8,1.8,0.0,"ff,125,1.1",100.1076
ff,125,1.1,0.9,1.8,0.0,"ff,125,1.1",100.075
ff,125,1.1,1.0,1.8,0.0,"ff,125,1.1",100.0332
ff,125,1.1,1.1,1.8,0.0,"ff,125,1.1",99.98272
ff,125,1.1,1.2,1.8,0.0,"ff,125,1.1",99.9228
ff,125,1.1,1.3,1.8,0.0,"ff,125,1.1",99.85037
ff,125,1.1,1.4,1.8,0.0,"ff,125,1.1",99.75596
ff,125,1.1,1.5,1.8,0.0,"ff,125,1.1",99.59231
ff,125,1.1,1.6,1.8,0.0,"ff,125,1.1",98.86954
ff,125,1.1,1.7,1.8,0.0,"ff,125,1.1",94.58404
ff,125,1.1,1.8,1.8,0.0,"ff,125,1.1",78.80221
ff,27,0.9,0.0,1.8,0.0,"ff,27,0.9",97.52219
ff,27,0.9,0.1,1.8,0.0,"ff,27,0.9",97.51626
ff,27,0.9,0.2,1.8,0.0,"ff,27,0.9",97.51016
ff,27,0.9,0.3,1.8,0.0,"ff,27,0.9",97.50387
ff,27,0.9,0.4,1.8,0.0,"ff,27,0.9",97.49736
ff,27,0.9,0.5,1.8,0.0,"ff,27,0.9",97.49055
ff,27,0.9,0.6,1.8,0.0,"ff,27,0.9",97.48333
ff,27,0.9,0.7,1.8,0.0,"ff,27,0.9",97.47537
ff,27,0.9,0.8,1.8,0.0,"ff,27,0.9",97.46508
ff,27,0.9,0.9,1.8,0.0,"ff,27,0.9",97.44614
ff,27,0.9,1.0,1.8,0.0,"ff,27,0.9",97.41148
ff,27,0.9,1.1,1.8,0.0,"ff,27,0.9",97.35154
ff,27,0.9,1.2,1.8,0.0,"ff,27,0.9",97.18616
ff,27,0.9,1.3,1.8,0.0,"ff,27,0.9",96.01339
ff,27,0.9,1.4,1.8,0.0,"ff,27,0.9",89.4144
ff,27,0.9,1.5,1.8,0.0,"ff,27,0.9",65.00565
ff,27,0.9,1.6,1.8,0.0,"ff,27,0.9",13.60087
ff,27,0.9,1.7,1.8,0.0,"ff,27,0.9",-67.675
ff,27,0.9,1.8,1.8,0.0,"ff,27,0.9",-180.47
ff,27,1.0,0.0,1.8,0.0,"ff,27,1.0",99.66583
ff,27,1.0,0.1,1.8,0.0,"ff,27,1.0",99.66091
ff,27,1.0,0.2,1.8,0.0,"ff,27,1.0",99.65588
ff,27,1.0,0.3,1.8,0.0,"ff,27,1.0",99.65073
ff,27,1.0,0.4,1.8,0.0,"ff,27,1.0",99.64544
ff,27,1.0,0.5,1.8,0.0,"ff,27,1.0",99.63996
ff,27,1.0,0.6,1.8,0.0,"ff,27,1.0",99.63421
ff,27,1.0,0.7,1.8,0.0,"ff,27,1.0",99.62799
ff,27,1.0,0.8,1.8,0.0,"ff,27,1.0",99.62031
ff,27,1.0,0.9,1.8,0.0,"ff,27,1.0",99.60706
ff,27,1.0,1.0,1.8,0.0,"ff,27,1.0",99.58404
ff,27,1.0,1.1,1.8,0.0,"ff,27,1.0",99.55054
ff,27,1.0,1.2,1.8,0.0,"ff,27,1.0",99.50497
ff,27,1.0,1.3,1.8,0.0,"ff,27,1.0",99.43624
ff,27,1.0,1.4,1.8,0.0,"ff,27,1.0",99.23118
ff,27,1.0,1.5,1.8,0.0,"ff,27,1.0",97.65866
ff,27,1.0,1.6,1.8,0.0,"ff,27,1.0",88.97133
ff,27,1.0,1.7,1.8,0.0,"ff,27,1.0",58.94363
ff,27,1.0,1.8,1.8,0.0,"ff,27,1.0",-0.0159023
ff,27,1.1,0.0,1.8,0.0,"ff,27,1.1",99.92508
ff,27,1.1,0.1,1.8,0.0,"ff,27,1.1",99.9207
ff,27,1.1,0.2,1.8,0.0,"ff,27,1.1",99.91623
ff,27,1.1,0.3,1.8,0.0,"ff,27,1.1",99.91168
ff,27,1.1,0.4,1.8,0.0,"ff,27,1.1",99.90702
ff,27,1.1,0.5,1.8,0.0,"ff,27,1.1",99.90222
ff,27,1.1,0.6,1.8,0.0,"ff,27,1.1",99.89722
ff,27,1.1,0.7,1.8,0.0,"ff,27,1.1",99.89185
