process,temp,supply,REF delay,FB delay,tup_check,Corner Status
tt,27,0.9,1.4n,1n,1.117688e-07,True
sf,27,0.9,1.4n,1n,4.603102e-10,True
fs,-40,0.9,1.4n,1n,8.960034e-08,True
ss,27,0.9,1.4n,1n,1.552714e-08,True
ss,125,0.9,1.4n,1n,1.227245e-06,True
ff,125,0.9,1.4n,1n,9.296829e-05,True
fs,27,0.9,1.4n,1n,4.600358e-06,True
tt,-40,0.9,1.4n,1n,6.095400e-10,True
ss,-40,0.9,1.4n,1n,5.493503e-08,True
tt,125,0.9,1.4n,1n,1.976087e-05,True
ff,-40,0.9,1.4n,1n,1.153389e-08,True
sf,125,0.9,1.4n,1n,1.573176e-07,True
fs,125,0.9,1.4n,1n,2.237344e-04,True
ff,27,0.9,1.4n,1n,1.391070e-06,True
sf,-40,0.9,1.4n,1n,2.069017e-08,True
tt,125,1.0,1.4n,1n,2.268545e-05,True
ff,125,1.0,1.4n,1n,1.096340e-04,True
ff,27,1.0,1.4n,1n,1.773874e-06,True
ss,27,1.0,1.4n,1n,1.444750e-09,True
ff,-40,1.0,1.4n,1n,1.667439e-08,True
ss,-40,1.0,1.4n,1n,6.879065e-10,True
ss,125,1.0,1.4n,1n,1.596215e-06,True
sf,-40,1.0,1.4n,1n,5.800782e-10,True
sf,125,1.0,1.4n,1n,1.799990e+00,False
fs,-40,1.0,1.4n,1n,8.860221e-08,True
fs,125,1.0,1.4n,1n,2.697303e-04,True
tt,-40,1.0,1.4n,1n,6.941425e-10,True
tt,27,1.0,1.4n,1n,1.079840e-07,True
sf,27,1.0,1.4n,1n,1.799473e+00,False
fs,27,1.0,1.4n,1n,5.836413e-06,True
fs,27,1.1,1.4n,1n,7.657495e-06,True
ss,125,1.1,1.4n,1n,1.859556e-06,True
ss,27,1.1,1.4n,1n,1.876214e-09,True
ss,-40,1.1,1.4n,1n,1.350982e-09,True
tt,125,1.1,1.4n,1n,2.660908e-05,True
fs,-40,1.1,1.4n,1n,1.296397e-07,True
tt,27,1.1,1.4n,1n,1.493555e-07,True
ff,27,1.1,1.4n,1n,2.307417e-06,True
ff,-40,1.1,1.4n,1n,2.495398e-08,True
sf,125,1.1,1.4n,1n,1.823040e+00,False
sf,-40,1.1,1.4n,1n,1.091171e-09,True
sf,27,1.1,1.4n,1n,1.980000e+00,False
fs,125,1.1,1.4n,1n,3.361548e-04,True
ff,125,1.1,1.4n,1n,1.327512e-04,True
tt,-40,1.1,1.4n,1n,1.602415e-09,True
