process,temp,supply,control,corner name,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ)
tt,27,1,0.0,"tt,27,1",4.5288,7.678169e-01,7.678174e-01,2.79486,True,2.260528
tt,27,1,0.1,"tt,27,1",-118.017,6.121171e-01,7.422484e-01,2.781512,True,2.294744
tt,27,1,0.2,"tt,27,1",-103.44059999999999,-8.60006e-02,1.204135e+00,2.773392,True,2.332406
tt,27,1,0.3,"tt,27,1",-159.381,1.091101e+00,3.560374e-03,2.770778,True,2.373892
tt,27,1,0.4,"tt,27,1",-771.4440000000001,1.163533e+00,1.524401e-01,2.786218,True,2.412755
tt,27,1,0.5,"tt,27,1",137.34179999999998,3.715561e-03,1.361208e+00,2.818486,True,2.447285
tt,27,1,0.6,"tt,27,1",4.527,7.679316e-01,7.679137e-01,2.867272,True,2.47831
tt,27,1,0.7,"tt,27,1",4.5504,7.679929e-01,7.678929e-01,2.923468,True,2.507365
tt,27,1,0.8,"tt,27,1",4.5558,7.679567e-01,7.679321e-01,2.9795,True,2.535293
tt,27,1,0.9,"tt,27,1",4.5036,7.679587e-01,7.679392e-01,3.03037,True,2.561685
tt,27,1,1.0,"tt,27,1",-714.9942,6.843906e-01,5.403993e-01,3.072578,True,2.584632
tt,27,1,1.1,"tt,27,1",4.519800000000001,7.679318e-01,7.679134e-01,3.103912,True,2.60114
tt,27,1,1.2,"tt,27,1",4.527,7.679495e-01,7.679366e-01,3.123698,True,2.610772
tt,27,1,1.3,"tt,27,1",4.5360000000000005,7.678999e-01,7.679182e-01,3.134016,True,2.615207
tt,27,1,1.4,"tt,27,1",22.215600000000002,-5.05798e-02,1.510917e+00,3.138504,True,2.617436
tt,27,1,1.5,"tt,27,1",4.5342,7.679034e-01,7.679196e-01,3.140324,True,2.618476
tt,27,1,1.6,"tt,27,1",4.5306,7.677886e-01,7.680463e-01,3.141008,True,2.618473
tt,27,1,1.7,"tt,27,1",4.8132,1.460475e+00,-4.86931e-02,3.141286,True,2.61874
tt,27,1,1.8,"tt,27,1",-142.047,3.046261e-02,1.258638e+00,3.141404,True,2.61875
