process,temp,supply,control,corner name,gmn (mS),gmp (mS),I_left (mA),I_right (mA),I_tail (mA),nmos_sat_check,pmos_sat_check,tail_sat_check,vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,-40,0.9,0.0,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.13843,True,2.33,
ff,-40,0.9,0.1,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.132866,True,2.4,
ff,-40,0.9,0.2,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.130486,True,2.47,
ff,-40,0.9,0.3,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.137624,True,2.55,
ff,-40,0.9,0.4,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.163784,True,2.62,
ff,-40,0.9,0.5,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.211328,True,2.67,
ff,-40,0.9,0.6,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.270326,True,2.72,
ff,-40,0.9,0.7,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.325992,True,2.75,
ff,-40,0.9,0.8,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.365854,True,2.77,
ff,-40,0.9,0.9,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.38687,True,2.79,
ff,-40,0.9,1.0,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.394684,True,2.79,
ff,-40,0.9,1.1,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.396972,True,2.79,
ff,-40,0.9,1.2,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.39777,True,2.79,
ff,-40,0.9,1.3,"ff,-40,0.9",2.517571e+01,1.655137e+01,9.243356e-01,9.243356e-01,1.848374e+00,True,True,False,7.342568e-01,7.342568e-01,2.398054,True,2.79,
