process,temp,supply,Oscillation Status,freq (GHZ)
ss,-40,0.9,,
sf,125,0.9,True,1.000069e+01
fs,27,0.9,True,1.004297e+01
sf,27,0.9,True,1.000029e+01
fs,125,0.9,True,1.000411e+01
sf,-40,0.9,True,9.999840e+00
ff,-40,0.9,True,1.004548e+01
ff,27,0.9,True,1.000132e+01
ss,27,0.9,True,9.980151e+00
ff,125,0.9,True,1.000524e+01
ss,125,0.9,True,1.000137e+01
fs,-40,0.9,True,9.978208e+00
ff,-40,1.0,True,1.000558e+01
fs,-40,1.0,True,1.000394e+01
fs,125,1.0,True,1.001791e+01
fs,27,1.0,True,1.002572e+01
ff,27,1.0,True,1.000670e+01
sf,125,1.0,True,1.000886e+01
sf,27,1.0,True,1.000241e+01
ss,-40,1.0,True,9.992084e+00
ss,27,1.0,True,1.000042e+01
sf,-40,1.0,True,1.000105e+01
ff,125,1.0,True,1.001123e+01
ss,125,1.0,True,9.992927e+00
sf,125,1.1,True,1.000698e+01
ff,27,1.1,True,1.002648e+01
ss,-40,1.1,True,1.001661e+01
ff,-40,1.1,True,1.000079e+01
ss,125,1.1,True,9.988916e+00
fs,125,1.1,True,9.983850e+00
sf,-40,1.1,True,1.000261e+01
fs,27,1.1,True,1.000145e+01
fs,-40,1.1,True,9.995978e+00
sf,27,1.1,True,9.992334e+00
ss,27,1.1,True,1.007308e+01
ff,125,1.1,True,1.000655e+01
