process,temp,supply,control,corner name,iref
ss,-20,1.0,0.9,"ss,-20,1.0",8.562209e+01
ff,-20,1.1,0.9,"ff,-20,1.1",9.003690e+01
ff,10,1.0,0.9,"ff,10,1.0",8.924034e+01
ff,-10,1.0,0.9,"ff,-10,1.0",8.907683e+01
ff,0,1.0,0.9,"ff,0,1.0",8.919695e+01
ff,-10,0.9,0.9,"ff,-10,0.9",8.458857e+01
ff,0,1.1,0.9,"ff,0,1.1",9.025311e+01
ff,-10,1.1,0.9,"ff,-10,1.1",9.016690e+01
ff,0,0.9,0.9,"ff,0,0.9",7.250975e+01
ff,20,1.1,0.9,"ff,20,1.1",9.029381e+01
ff,40,1.0,0.9,"ff,40,1.0",8.903334e+01
ff,10,0.9,0.9,"ff,10,0.9",8.666124e+01
ff,10,1.1,0.9,"ff,10,1.1",9.029551e+01
ff,20,1.0,0.9,"ff,20,1.0",8.922346e+01
ff,-20,1.0,0.9,"ff,-20,1.0",8.884681e+01
ff,50,0.9,0.9,"ff,50,0.9",8.728415e+01
ff,20,0.9,0.9,"ff,20,0.9",8.714119e+01
ff,30,1.1,0.9,"ff,30,1.1",9.024758e+01
ff,30,1.0,0.9,"ff,30,1.0",8.915344e+01
ff,40,0.9,0.9,"ff,40,0.9",8.739525e+01
ff,40,1.1,0.9,"ff,40,1.1",9.015637e+01
ff,50,1.0,0.9,"ff,50,1.0",8.886455e+01
ff,50,1.1,0.9,"ff,50,1.1",9.001978e+01
ff,60,0.9,0.9,"ff,60,0.9",8.707831e+01
ff,60,1.1,0.9,"ff,60,1.1",8.983755e+01
ff,60,1.0,0.9,"ff,60,1.0",8.864774e+01
ff,70,1.0,0.9,"ff,70,1.0",8.838340e+01
ff,70,0.9,0.9,"ff,70,0.9",8.680217e+01
ff,70,1.1,0.9,"ff,70,1.1",8.960958e+01
ff,30,0.9,0.9,"ff,30,0.9",8.736701e+01
ff,80,1.0,0.9,"ff,80,1.0",8.807203e+01
ff,-20,0.9,0.9,"ff,-20,0.9",8.226148e+01
ff,-30,1.0,0.9,"ff,-30,1.0",8.845757e+01
fs,50,0.9,0.9,"fs,50,0.9",8.157136e+01
fs,50,1.0,0.9,"fs,50,1.0",8.460817e+01
fs,60,1.0,0.9,"fs,60,1.0",8.425939e+01
fs,50,1.1,0.9,"fs,50,1.1",8.651456e+01
fs,70,1.1,0.9,"fs,70,1.1",8.592495e+01
fs,70,0.9,0.9,"fs,70,0.9",4.582536e+00
fs,60,0.9,0.9,"fs,60,0.9",8.109238e+01
fs,110,0.9,0.9,"fs,110,0.9",6.287358e+00
