lp,wp,i1,i2,i3,i4,sat1,sat2,sat3,sat4,vds1,vds2,vds3,vds4,vgs1,vgs2,vgs3,vgs4,vth1,vth2,vth3,vth4
0.15,40.0,8.939155e+01,4.597166e+01,4.597168e+01,1.835520e-08,5.615789e-01,9.560388e-01,7.133882e-01,8.063514e-02,6.719800e-01,1.066440e+00,7.335583e-01,6.754441e-11,6.719806e-01,6.719805e-01,7.335587e-01,7.335590e-01,5.615794e-01,5.615794e-01,7.133885e-01,8.141941e-01
0.15,41.0,8.939155e+01,4.597166e+01,4.597168e+01,1.251450e-08,5.615789e-01,9.560388e-01,7.133882e-01,8.066862e-02,6.719800e-01,1.066440e+00,7.335583e-01,4.494538e-11,6.719806e-01,6.719805e-01,7.335587e-01,7.335590e-01,5.615794e-01,5.615794e-01,7.133885e-01,8.142276e-01
0.15,44.0,8.939155e+01,4.597166e+01,4.597168e+01,8.313783e-09,5.615789e-01,9.560388e-01,7.133882e-01,8.075995e-02,6.719800e-01,1.066440e+00,7.335583e-01,-2.78517e-11,6.719806e-01,6.719805e-01,7.335587e-01,7.335590e-01,5.615794e-01,5.615794e-01,7.133885e-01,8.143190e-01
0.15,42.5,8.939155e+01,4.597166e+01,4.597168e+01,4.953236e-08,5.615789e-01,9.560388e-01,7.133882e-01,8.071590e-02,6.719800e-01,1.066440e+00,7.335583e-01,-1.71707e-10,6.719806e-01,6.719805e-01,7.335587e-01,7.335590e-01,5.615794e-01,5.615794e-01,7.133885e-01,8.142749e-01
0.15,43.0,8.939155e+01,4.597166e+01,4.597168e+01,3.161522e-08,5.615789e-01,9.560388e-01,7.133882e-01,8.073093e-02,6.719800e-01,1.066440e+00,7.335583e-01,-1.08340e-10,6.719806e-01,6.719805e-01,7.335587e-01,7.335590e-01,5.615794e-01,5.615794e-01,7.133885e-01,8.142899e-01
0.15,43.5,8.939155e+01,4.597166e+01,4.597168e+01,1.821176e-09,5.615789e-01,9.560388e-01,7.133882e-01,8.074561e-02,6.719800e-01,1.066440e+00,7.335583e-01,-6.17018e-12,6.719806e-01,6.719805e-01,7.335587e-01,7.335590e-01,5.615794e-01,5.615794e-01,7.133885e-01,8.143046e-01
0.15,40.5,8.939155e+01,4.597166e+01,4.597168e+01,5.327489e-09,5.615789e-01,9.560388e-01,7.133882e-01,8.065209e-02,6.719800e-01,1.066440e+00,7.335583e-01,-1.93661e-11,6.719806e-01,6.719805e-01,7.335587e-01,7.335590e-01,5.615794e-01,5.615794e-01,7.133885e-01,8.142111e-01
0.15,41.5,8.939155e+01,4.597166e+01,4.597168e+01,3.355911e-08,5.615789e-01,9.560388e-01,7.133882e-01,8.068476e-02,6.719800e-01,1.066440e+00,7.335583e-01,1.190961e-10,6.719806e-01,6.719805e-01,7.335587e-01,7.335590e-01,5.615794e-01,5.615794e-01,7.133885e-01,8.142438e-01
0.15,44.5,8.939155e+01,4.597166e+01,4.597168e+01,2.761844e-08,5.615789e-01,9.560388e-01,7.133882e-01,8.077398e-02,6.719800e-01,1.066440e+00,7.335583e-01,9.149859e-11,6.719806e-01,6.719805e-01,7.335587e-01,7.335590e-01,5.615794e-01,5.615794e-01,7.133885e-01,8.143330e-01
0.15,42.0,8.939155e+01,4.597166e+01,4.597168e+01,8.173962e-08,5.615789e-01,9.560388e-01,7.133882e-01,8.070052e-02,6.719800e-01,1.066440e+00,7.335583e-01,2.866791e-10,6.719806e-01,6.719805e-01,7.335587e-01,7.335590e-01,5.615794e-01,5.615794e-01,7.133885e-01,8.142595e-01
