f_input,f_out,n
2.35GHz,9.95763e+06,2.36000e+02
2.36GHz,1.00000e+07,2.36000e+02
2.37GHz,9.25781e+06,2.56000e+02
2.38GHz,1.00000e+07,2.38000e+02
2.39GHz,9.95833e+06,2.40000e+02
2.4GHz,1.00000e+07,2.40000e+02
2.41GHz,9.41408e+06,2.56000e+02
2.42GHz,1.00000e+07,2.42000e+02
2.43GHz,9.95902e+06,2.44000e+02
2.44GHz,9.53125e+06,2.56000e+02
2.45GHz,9.95935e+06,2.46000e+02
2.46GHz,9.60937e+06,2.56000e+02
2.47GHz,9.64843e+06,2.56000e+02
2.48GHz,1.00000e+07,2.48000e+02
2.49GHz,9.96000e+06,2.50000e+02
2.5GHz,1.00000e+07,2.50000e+02
2.51GHz,9.80469e+06,2.56000e+02
2.52GHz,1.00000e+07,2.52000e+02
2.53GHz,9.96062e+06,2.54000e+02
2.54GHz,1.00000e+07,2.54000e+02
