process,temp,supply,control,corner name,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,-40,0.9,0.0,"ff,-40,0.9",3425.634,1.294391e+00,-6.98793e-02,2.75427,True,2.285121,
ff,-40,0.9,0.1,"ff,-40,0.9",-549.0054000000001,9.936014e-02,1.172705e+00,2.744914,True,2.32477,
ff,-40,0.9,0.2,"ff,-40,0.9",-810.7650000000001,1.117119e+00,1.565412e-01,2.737804,True,2.367643,
ff,-40,0.9,0.3,"ff,-40,0.9",2.6189999999999998,7.599547e-01,7.599505e-01,2.734024,True,2.4108,
ff,-40,0.9,0.4,"ff,-40,0.9",2.655,7.600337e-01,7.600444e-01,2.750382,True,2.452638,
ff,-40,0.9,0.5,"ff,-40,0.9",-1310.7528,1.101307e-01,1.185584e+00,2.791688,True,2.487615,
ff,-40,0.9,0.6,"ff,-40,0.9",-110.0304,-5.25262e-02,1.231648e+00,2.844618,True,2.520768,
ff,-40,0.9,0.7,"ff,-40,0.9",2.5416000000000003,7.600740e-01,7.600619e-01,2.899792,True,2.553284,
ff,-40,0.9,0.8,"ff,-40,0.9",37.34460000000001,4.316319e-01,7.325083e-01,2.952772,True,2.587913,
ff,-40,0.9,0.9,"ff,-40,0.9",-247.34340000000003,4.764794e-01,7.200288e-01,2.996848,True,2.62165,
ff,-40,0.9,1.0,"ff,-40,0.9",306.85679999999996,9.901307e-01,1.347576e-01,3.030908,True,2.648515,
ff,-40,0.9,1.1,"ff,-40,0.9",-169.6824,7.254541e-01,4.544443e-01,3.053534,True,2.664771,
ff,-40,0.9,1.2,"ff,-40,0.9",173.7918,8.254967e-01,3.575011e-01,3.06515,True,2.67087,
ff,-40,0.9,1.3,"ff,-40,0.9",-78.651,1.386680e-01,1.067411e+00,3.068814,True,2.673482,
ff,-40,0.9,1.4,"ff,-40,0.9",-96.59700000000001,1.302540e+00,6.116151e-02,3.070286,True,2.6735,
ff,-40,0.9,1.5,"ff,-40,0.9",-101.9664,4.000797e-02,1.166628e+00,3.07023,True,2.673656,
ff,-40,0.9,1.6,"ff,-40,0.9",122.29920000000001,-2.48862e-02,1.479721e+00,3.070954,True,2.674567,
ff,-40,0.9,1.7,"ff,-40,0.9",-3596.2344000000003,1.142129e+00,1.066241e-01,3.070358,True,2.674325,
ff,-40,0.9,1.8,"ff,-40,0.9",64.9728,1.207110e+00,8.434173e-02,3.070362,True,2.674166,
ff,-40,1.0,0.0,"ff,-40,1.0",4.311,7.889671e-01,7.889672e-01,2.7996,True,2.271906,
ff,-40,1.0,0.1,"ff,-40,1.0",94.5828,-5.69716e-02,1.183435e+00,2.790334,True,2.309652,
